25.11.2022
11:35

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.997404E-05
-95	-9.500000E-02	-2.847700E-05
-90	-9.000000E-02	-2.697984E-05
-85	-8.500000E-02	-2.548345E-05
-80	-8.000000E-02	-2.398631E-05
-75	-7.500000E-02	-2.248966E-05
-70	-7.000000E-02	-2.099343E-05
-65	-6.500000E-02	-1.949718E-05
-60	-6.000000E-02	-1.799931E-05
-55	-5.500000E-02	-1.650250E-05
-50	-5.000000E-02	-1.500588E-05
-45	-4.500000E-02	-1.350925E-05
-40	-4.000000E-02	-1.201237E-05
-35	-3.500000E-02	-1.051591E-05
-30	-3.000000E-02	-9.026890E-06
-25	-2.500000E-02	-7.528127E-06
-20	-2.000000E-02	-6.031285E-06
-15	-1.500000E-02	-4.532721E-06
-10	-1.000000E-02	-3.033749E-06
-5	-5.000000E-03	-1.534627E-06
0	+0.000000E+00	-3.833675E-08
5	+5.000000E-03	+1.486744E-06
10	+1.000000E-02	+2.985438E-06
15	+1.500000E-02	+4.482345E-06
20	+2.000000E-02	+5.981117E-06
25	+2.500000E-02	+7.477870E-06
30	+3.000000E-02	+8.977642E-06
35	+3.500000E-02	+1.046304E-05
40	+4.000000E-02	+1.196221E-05
45	+4.500000E-02	+1.345956E-05
50	+5.000000E-02	+1.495556E-05
55	+5.500000E-02	+1.645363E-05
60	+6.000000E-02	+1.795047E-05
65	+6.500000E-02	+1.944777E-05
70	+7.000000E-02	+2.094360E-05
75	+7.500000E-02	+2.243981E-05
80	+8.000000E-02	+2.393609E-05
85	+8.500000E-02	+2.543326E-05
90	+9.000000E-02	+2.692957E-05
95	+9.500000E-02	+2.842557E-05
100	+1.000000E-01	+2.992217E-05
