25.11.2022
11:34

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.996928E-05
-95	-9.500000E-02	-2.847226E-05
-90	-9.000000E-02	-2.697563E-05
-85	-8.500000E-02	-2.548041E-05
-80	-8.000000E-02	-2.398307E-05
-75	-7.500000E-02	-2.248676E-05
-70	-7.000000E-02	-2.099018E-05
-65	-6.500000E-02	-1.949468E-05
-60	-6.000000E-02	-1.799573E-05
-55	-5.500000E-02	-1.650045E-05
-50	-5.000000E-02	-1.500330E-05
-45	-4.500000E-02	-1.350759E-05
-40	-4.000000E-02	-1.201131E-05
-35	-3.500000E-02	-1.051455E-05
-30	-3.000000E-02	-9.026638E-06
-25	-2.500000E-02	-7.527571E-06
-20	-2.000000E-02	-6.030587E-06
-15	-1.500000E-02	-4.531859E-06
-10	-1.000000E-02	-3.032849E-06
-5	-5.000000E-03	-1.534790E-06
0	+0.000000E+00	-3.843154E-08
5	+5.000000E-03	+1.487226E-06
10	+1.000000E-02	+2.985108E-06
15	+1.500000E-02	+4.483092E-06
20	+2.000000E-02	+5.980639E-06
25	+2.500000E-02	+7.477869E-06
30	+3.000000E-02	+8.977368E-06
35	+3.500000E-02	+1.046452E-05
40	+4.000000E-02	+1.196165E-05
45	+4.500000E-02	+1.345782E-05
50	+5.000000E-02	+1.495456E-05
55	+5.500000E-02	+1.645157E-05
60	+6.000000E-02	+1.794771E-05
65	+6.500000E-02	+1.944462E-05
70	+7.000000E-02	+2.094063E-05
75	+7.500000E-02	+2.243642E-05
80	+8.000000E-02	+2.393271E-05
85	+8.500000E-02	+2.542998E-05
90	+9.000000E-02	+2.692592E-05
95	+9.500000E-02	+2.842232E-05
100	+1.000000E-01	+2.991755E-05
