25.11.2022
11:31

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.996104E-05
-95	-9.500000E-02	-2.846433E-05
-90	-9.000000E-02	-2.696821E-05
-85	-8.500000E-02	-2.547338E-05
-80	-8.000000E-02	-2.397675E-05
-75	-7.500000E-02	-2.248027E-05
-70	-7.000000E-02	-2.098459E-05
-65	-6.500000E-02	-1.948920E-05
-60	-6.000000E-02	-1.799210E-05
-55	-5.500000E-02	-1.649564E-05
-50	-5.000000E-02	-1.499933E-05
-45	-4.500000E-02	-1.350339E-05
-40	-4.000000E-02	-1.200763E-05
-35	-3.500000E-02	-1.051206E-05
-30	-3.000000E-02	-9.024134E-06
-25	-2.500000E-02	-7.526028E-06
-20	-2.000000E-02	-6.029635E-06
-15	-1.500000E-02	-4.531370E-06
-10	-1.000000E-02	-3.033061E-06
-5	-5.000000E-03	-1.535204E-06
0	+0.000000E+00	-3.963511E-08
5	+5.000000E-03	+1.486730E-06
10	+1.000000E-02	+2.983688E-06
15	+1.500000E-02	+4.480045E-06
20	+2.000000E-02	+5.978372E-06
25	+2.500000E-02	+7.475547E-06
30	+3.000000E-02	+8.973393E-06
35	+3.500000E-02	+1.046114E-05
40	+4.000000E-02	+1.195795E-05
45	+4.500000E-02	+1.345354E-05
50	+5.000000E-02	+1.494969E-05
55	+5.500000E-02	+1.644698E-05
60	+6.000000E-02	+1.794226E-05
65	+6.500000E-02	+1.943910E-05
70	+7.000000E-02	+2.093429E-05
75	+7.500000E-02	+2.242955E-05
80	+8.000000E-02	+2.392555E-05
85	+8.500000E-02	+2.542154E-05
90	+9.000000E-02	+2.691821E-05
95	+9.500000E-02	+2.841374E-05
100	+1.000000E-01	+2.991008E-05
