25.11.2022
11:33

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.996573E-05
-95	-9.500000E-02	-2.846859E-05
-90	-9.000000E-02	-2.697239E-05
-85	-8.500000E-02	-2.547663E-05
-80	-8.000000E-02	-2.397975E-05
-75	-7.500000E-02	-2.248486E-05
-70	-7.000000E-02	-2.098798E-05
-65	-6.500000E-02	-1.949213E-05
-60	-6.000000E-02	-1.799447E-05
-55	-5.500000E-02	-1.649788E-05
-50	-5.000000E-02	-1.500259E-05
-45	-4.500000E-02	-1.350539E-05
-40	-4.000000E-02	-1.200897E-05
-35	-3.500000E-02	-1.051468E-05
-30	-3.000000E-02	-9.024563E-06
-25	-2.500000E-02	-7.527144E-06
-20	-2.000000E-02	-6.029462E-06
-15	-1.500000E-02	-4.531873E-06
-10	-1.000000E-02	-3.032719E-06
-5	-5.000000E-03	-1.534452E-06
0	+0.000000E+00	-3.870001E-08
5	+5.000000E-03	+1.486327E-06
10	+1.000000E-02	+2.984173E-06
15	+1.500000E-02	+4.480708E-06
20	+2.000000E-02	+5.978655E-06
25	+2.500000E-02	+7.476043E-06
30	+3.000000E-02	+8.975685E-06
35	+3.500000E-02	+1.046355E-05
40	+4.000000E-02	+1.196032E-05
45	+4.500000E-02	+1.345687E-05
50	+5.000000E-02	+1.495236E-05
55	+5.500000E-02	+1.645020E-05
60	+6.000000E-02	+1.794545E-05
65	+6.500000E-02	+1.944200E-05
70	+7.000000E-02	+2.093821E-05
75	+7.500000E-02	+2.243356E-05
80	+8.000000E-02	+2.392960E-05
85	+8.500000E-02	+2.542549E-05
90	+9.000000E-02	+2.692199E-05
95	+9.500000E-02	+2.841665E-05
100	+1.000000E-01	+2.991276E-05
