10.11.2022
10:12

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.913124E-05
-90	-9.000000E-02	-2.622148E-05
-80	-8.000000E-02	-2.331288E-05
-70	-7.000000E-02	-2.040461E-05
-60	-6.000000E-02	-1.749434E-05
-50	-5.000000E-02	-1.458464E-05
-40	-4.000000E-02	-1.167553E-05
-30	-3.000000E-02	-8.774921E-06
-20	-2.000000E-02	-5.863081E-06
-10	-1.000000E-02	-2.949783E-06
0	+0.000000E+00	-3.913679E-08
10	+1.000000E-02	+2.898686E-06
20	+2.000000E-02	+5.810127E-06
30	+3.000000E-02	+8.722081E-06
40	+4.000000E-02	+1.162355E-05
50	+5.000000E-02	+1.453268E-05
60	+6.000000E-02	+1.744294E-05
70	+7.000000E-02	+2.035153E-05
80	+8.000000E-02	+2.325954E-05
90	+9.000000E-02	+2.616934E-05
100	+1.000000E-01	+2.907667E-05
