25.11.2022
11:30

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.995658E-05
-95	-9.500000E-02	-2.845961E-05
-90	-9.000000E-02	-2.696366E-05
-85	-8.500000E-02	-2.546884E-05
-80	-8.000000E-02	-2.397295E-05
-75	-7.500000E-02	-2.247788E-05
-70	-7.000000E-02	-2.098098E-05
-65	-6.500000E-02	-1.948541E-05
-60	-6.000000E-02	-1.798875E-05
-55	-5.500000E-02	-1.649318E-05
-50	-5.000000E-02	-1.499753E-05
-45	-4.500000E-02	-1.350188E-05
-40	-4.000000E-02	-1.200602E-05
-35	-3.500000E-02	-1.051077E-05
-30	-3.000000E-02	-9.022256E-06
-25	-2.500000E-02	-7.524745E-06
-20	-2.000000E-02	-6.028319E-06
-15	-1.500000E-02	-4.530479E-06
-10	-1.000000E-02	-3.032339E-06
-5	-5.000000E-03	-1.534755E-06
0	+0.000000E+00	-3.934605E-08
5	+5.000000E-03	+1.050027E-06
10	+1.000000E-02	+2.983222E-06
15	+1.500000E-02	+4.479497E-06
20	+2.000000E-02	+5.976258E-06
25	+2.500000E-02	+7.473135E-06
30	+3.000000E-02	+8.971557E-06
35	+3.500000E-02	+1.045868E-05
40	+4.000000E-02	+1.195527E-05
45	+4.500000E-02	+1.345059E-05
50	+5.000000E-02	+1.494660E-05
55	+5.500000E-02	+1.644312E-05
60	+6.000000E-02	+1.793873E-05
65	+6.500000E-02	+1.943479E-05
70	+7.000000E-02	+2.093038E-05
75	+7.500000E-02	+2.242541E-05
80	+8.000000E-02	+2.392042E-05
85	+8.500000E-02	+2.541712E-05
90	+9.000000E-02	+2.691239E-05
95	+9.500000E-02	+2.840763E-05
100	+1.000000E-01	+2.990244E-05
