10.11.2022
10:13

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.913492E-05
-90	-9.000000E-02	-2.622456E-05
-80	-8.000000E-02	-2.331599E-05
-70	-7.000000E-02	-2.040683E-05
-60	-6.000000E-02	-1.749614E-05
-50	-5.000000E-02	-1.458672E-05
-40	-4.000000E-02	-1.167759E-05
-30	-3.000000E-02	-8.775284E-06
-20	-2.000000E-02	-5.863636E-06
-10	-1.000000E-02	-2.949710E-06
0	+0.000000E+00	-3.863467E-08
10	+1.000000E-02	+2.900288E-06
20	+2.000000E-02	+5.812107E-06
30	+3.000000E-02	+8.724560E-06
40	+4.000000E-02	+1.162596E-05
50	+5.000000E-02	+1.453601E-05
60	+6.000000E-02	+1.744620E-05
70	+7.000000E-02	+2.035610E-05
80	+8.000000E-02	+2.326407E-05
90	+9.000000E-02	+2.617418E-05
100	+1.000000E-01	+2.908215E-05
