10.11.2022
10:14

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.914801E-05
-90	-9.000000E-02	-2.623689E-05
-80	-8.000000E-02	-2.332759E-05
-70	-7.000000E-02	-2.041582E-05
-60	-6.000000E-02	-1.750429E-05
-50	-5.000000E-02	-1.459362E-05
-40	-4.000000E-02	-1.168278E-05
-30	-3.000000E-02	-8.780088E-06
-20	-2.000000E-02	-5.866234E-06
-10	-1.000000E-02	-2.950883E-06
0	+0.000000E+00	-3.825939E-08
10	+1.000000E-02	+2.901309E-06
20	+2.000000E-02	+5.814697E-06
30	+3.000000E-02	+8.728642E-06
40	+4.000000E-02	+1.163163E-05
50	+5.000000E-02	+1.454241E-05
60	+6.000000E-02	+1.745427E-05
70	+7.000000E-02	+2.036530E-05
80	+8.000000E-02	+2.327458E-05
90	+9.000000E-02	+2.618645E-05
100	+1.000000E-01	+2.909617E-05
