10.11.2022
10:10

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.912992E-05
-95	-9.500000E-02	-2.767467E-05
-90	-9.000000E-02	-2.621968E-05
-85	-8.500000E-02	-2.476671E-05
-80	-8.000000E-02	-2.331168E-05
-75	-7.500000E-02	-2.185836E-05
-70	-7.000000E-02	-2.040354E-05
-65	-6.500000E-02	-1.894924E-05
-60	-6.000000E-02	-1.749379E-05
-55	-5.500000E-02	-1.603956E-05
-50	-5.000000E-02	-1.458415E-05
-45	-4.500000E-02	-1.312996E-05
-40	-4.000000E-02	-1.167568E-05
-35	-3.500000E-02	-1.022263E-05
-30	-3.000000E-02	-8.775072E-06
-25	-2.500000E-02	-7.318478E-06
-20	-2.000000E-02	-5.862941E-06
-15	-1.500000E-02	-4.406984E-06
-10	-1.000000E-02	-2.950369E-06
-5	-5.000000E-03	-1.494329E-06
0	+0.000000E+00	-4.014843E-08
5	+5.000000E-03	+1.441734E-06
10	+1.000000E-02	+2.898249E-06
15	+1.500000E-02	+4.352738E-06
20	+2.000000E-02	+5.808809E-06
25	+2.500000E-02	+7.263880E-06
30	+3.000000E-02	+8.721582E-06
35	+3.500000E-02	+1.017676E-05
40	+4.000000E-02	+1.162243E-05
45	+4.500000E-02	+1.307696E-05
50	+5.000000E-02	+1.453162E-05
55	+5.500000E-02	+1.598681E-05
60	+6.000000E-02	+1.744102E-05
65	+6.500000E-02	+1.889527E-05
70	+7.000000E-02	+2.035000E-05
75	+7.500000E-02	+2.180373E-05
80	+8.000000E-02	+2.325747E-05
85	+8.500000E-02	+2.471293E-05
90	+9.000000E-02	+2.616708E-05
95	+9.500000E-02	+2.762084E-05
100	+1.000000E-01	+2.907451E-05
