25.11.2022
11:32

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.996386E-05
-95	-9.500000E-02	-2.846717E-05
-90	-9.000000E-02	-2.697081E-05
-85	-8.500000E-02	-2.547547E-05
-80	-8.000000E-02	-2.397965E-05
-75	-7.500000E-02	-2.248330E-05
-70	-7.000000E-02	-2.098665E-05
-65	-6.500000E-02	-1.949170E-05
-60	-6.000000E-02	-1.799397E-05
-55	-5.500000E-02	-1.649767E-05
-50	-5.000000E-02	-1.500128E-05
-45	-4.500000E-02	-1.350520E-05
-40	-4.000000E-02	-1.200908E-05
-35	-3.500000E-02	-1.051394E-05
-30	-3.000000E-02	-9.024744E-06
-25	-2.500000E-02	-7.527344E-06
-20	-2.000000E-02	-6.030247E-06
-15	-1.500000E-02	-4.531808E-06
-10	-1.000000E-02	-3.033102E-06
-5	-5.000000E-03	-1.534653E-06
0	+0.000000E+00	-3.919642E-08
5	+5.000000E-03	+1.486049E-06
10	+1.000000E-02	+2.983727E-06
15	+1.500000E-02	+4.481184E-06
20	+2.000000E-02	+5.979162E-06
25	+2.500000E-02	+7.476237E-06
30	+3.000000E-02	+8.974216E-06
35	+3.500000E-02	+1.046233E-05
40	+4.000000E-02	+1.195970E-05
45	+4.500000E-02	+1.345508E-05
50	+5.000000E-02	+1.495121E-05
55	+5.500000E-02	+1.644812E-05
60	+6.000000E-02	+1.794560E-05
65	+6.500000E-02	+1.944026E-05
70	+7.000000E-02	+2.093694E-05
75	+7.500000E-02	+2.243221E-05
80	+8.000000E-02	+2.392795E-05
85	+8.500000E-02	+2.542579E-05
90	+9.000000E-02	+2.692035E-05
95	+9.500000E-02	+2.841573E-05
100	+1.000000E-01	+2.991173E-05
