25.11.2022
11:30

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.995692E-05
-95	-9.500000E-02	-2.845993E-05
-90	-9.000000E-02	-2.696334E-05
-85	-8.500000E-02	-2.546855E-05
-80	-8.000000E-02	-2.397252E-05
-75	-7.500000E-02	-2.247705E-05
-70	-7.000000E-02	-2.098140E-05
-65	-6.500000E-02	-1.948543E-05
-60	-6.000000E-02	-1.798862E-05
-55	-5.500000E-02	-1.649316E-05
-50	-5.000000E-02	-1.499689E-05
-45	-4.500000E-02	-1.350089E-05
-40	-4.000000E-02	-1.200573E-05
-35	-3.500000E-02	-1.051012E-05
-30	-3.000000E-02	-9.022853E-06
-25	-2.500000E-02	-7.525125E-06
-20	-2.000000E-02	-6.027986E-06
-15	-1.500000E-02	-4.530053E-06
-10	-1.000000E-02	-3.032514E-06
-5	-5.000000E-03	-1.534471E-06
0	+0.000000E+00	-3.898543E-08
5	+5.000000E-03	+1.485952E-06
10	+1.000000E-02	+2.982831E-06
15	+1.500000E-02	+4.479317E-06
20	+2.000000E-02	+5.977136E-06
25	+2.500000E-02	+7.473708E-06
30	+3.000000E-02	+8.971850E-06
35	+3.500000E-02	+1.045972E-05
40	+4.000000E-02	+1.195632E-05
45	+4.500000E-02	+1.345150E-05
50	+5.000000E-02	+1.494687E-05
55	+5.500000E-02	+1.644371E-05
60	+6.000000E-02	+1.793905E-05
65	+6.500000E-02	+1.943504E-05
70	+7.000000E-02	+2.093035E-05
75	+7.500000E-02	+2.242651E-05
80	+8.000000E-02	+2.392121E-05
85	+8.500000E-02	+2.541710E-05
90	+9.000000E-02	+2.691337E-05
95	+9.500000E-02	+2.840887E-05
100	+1.000000E-01	+2.990343E-05
