25.11.2022
11:30

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.995514E-05
-95	-9.500000E-02	-2.845846E-05
-90	-9.000000E-02	-2.696281E-05
-85	-8.500000E-02	-2.546776E-05
-80	-8.000000E-02	-2.397186E-05
-75	-7.500000E-02	-2.247524E-05
-70	-7.000000E-02	-2.097980E-05
-65	-6.500000E-02	-1.948496E-05
-60	-6.000000E-02	-1.798725E-05
-55	-5.500000E-02	-1.649209E-05
-50	-5.000000E-02	-1.499638E-05
-45	-4.500000E-02	-1.350049E-05
-40	-4.000000E-02	-1.200512E-05
-35	-3.500000E-02	-1.050966E-05
-30	-3.000000E-02	-9.022362E-06
-25	-2.500000E-02	-7.524111E-06
-20	-2.000000E-02	-6.027868E-06
-15	-1.500000E-02	-4.530161E-06
-10	-1.000000E-02	-3.032071E-06
-5	-5.000000E-03	-1.533811E-06
0	+0.000000E+00	-3.890866E-08
5	+5.000000E-03	+1.486312E-06
10	+1.000000E-02	+2.983849E-06
15	+1.500000E-02	+4.479701E-06
20	+2.000000E-02	+5.977334E-06
25	+2.500000E-02	+7.473375E-06
30	+3.000000E-02	+8.971810E-06
35	+3.500000E-02	+1.045911E-05
40	+4.000000E-02	+1.195550E-05
45	+4.500000E-02	+1.345104E-05
50	+5.000000E-02	+1.494702E-05
55	+5.500000E-02	+1.644331E-05
60	+6.000000E-02	+1.793857E-05
65	+6.500000E-02	+1.943448E-05
70	+7.000000E-02	+2.093055E-05
75	+7.500000E-02	+2.242518E-05
80	+8.000000E-02	+2.392047E-05
85	+8.500000E-02	+2.541738E-05
90	+9.000000E-02	+2.691215E-05
95	+9.500000E-02	+2.840708E-05
100	+1.000000E-01	+2.990211E-05
