10.11.2022
10:12

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.913391E-05
-90	-9.000000E-02	-2.622329E-05
-80	-8.000000E-02	-2.331487E-05
-70	-7.000000E-02	-2.040508E-05
-60	-6.000000E-02	-1.749613E-05
-50	-5.000000E-02	-1.458630E-05
-40	-4.000000E-02	-1.167763E-05
-30	-3.000000E-02	-8.775772E-06
-20	-2.000000E-02	-5.863651E-06
-10	-1.000000E-02	-2.949902E-06
0	+0.000000E+00	-3.918921E-08
10	+1.000000E-02	+2.898517E-06
20	+2.000000E-02	+5.810132E-06
30	+3.000000E-02	+8.723045E-06
40	+4.000000E-02	+1.162424E-05
50	+5.000000E-02	+1.453463E-05
60	+6.000000E-02	+1.744436E-05
70	+7.000000E-02	+2.035316E-05
80	+8.000000E-02	+2.326177E-05
90	+9.000000E-02	+2.617148E-05
100	+1.000000E-01	+2.908007E-05
