10.11.2022
10:13

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.914283E-05
-90	-9.000000E-02	-2.623097E-05
-80	-8.000000E-02	-2.332269E-05
-70	-7.000000E-02	-2.041224E-05
-60	-6.000000E-02	-1.750107E-05
-50	-5.000000E-02	-1.459065E-05
-40	-4.000000E-02	-1.168114E-05
-30	-3.000000E-02	-8.778569E-06
-20	-2.000000E-02	-5.865339E-06
-10	-1.000000E-02	-2.950303E-06
0	+0.000000E+00	-3.946313E-08
10	+1.000000E-02	+2.900599E-06
20	+2.000000E-02	+5.812574E-06
30	+3.000000E-02	+8.725664E-06
40	+4.000000E-02	+1.162838E-05
50	+5.000000E-02	+1.453845E-05
60	+6.000000E-02	+1.744977E-05
70	+7.000000E-02	+2.036098E-05
80	+8.000000E-02	+2.326941E-05
90	+9.000000E-02	+2.618011E-05
100	+1.000000E-01	+2.908960E-05
