25.11.2022
11:36

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.998049E-05
-95	-9.500000E-02	-2.848211E-05
-90	-9.000000E-02	-2.698417E-05
-85	-8.500000E-02	-2.548819E-05
-80	-8.000000E-02	-2.399145E-05
-75	-7.500000E-02	-2.249421E-05
-70	-7.000000E-02	-2.099616E-05
-65	-6.500000E-02	-1.950024E-05
-60	-6.000000E-02	-1.800179E-05
-55	-5.500000E-02	-1.650538E-05
-50	-5.000000E-02	-1.500846E-05
-45	-4.500000E-02	-1.351132E-05
-40	-4.000000E-02	-1.201428E-05
-35	-3.500000E-02	-1.051852E-05
-30	-3.000000E-02	-9.028616E-06
-25	-2.500000E-02	-7.529974E-06
-20	-2.000000E-02	-6.031806E-06
-15	-1.500000E-02	-4.533188E-06
-10	-1.000000E-02	-3.033877E-06
-5	-5.000000E-03	-1.534651E-06
0	+0.000000E+00	-3.821782E-08
5	+5.000000E-03	+1.488209E-06
10	+1.000000E-02	+2.986038E-06
15	+1.500000E-02	+4.484240E-06
20	+2.000000E-02	+5.982302E-06
25	+2.500000E-02	+7.480130E-06
30	+3.000000E-02	+8.979859E-06
35	+3.500000E-02	+1.046684E-05
40	+4.000000E-02	+1.196541E-05
45	+4.500000E-02	+1.346273E-05
50	+5.000000E-02	+1.495931E-05
55	+5.500000E-02	+1.645778E-05
60	+6.000000E-02	+1.795398E-05
65	+6.500000E-02	+1.945131E-05
70	+7.000000E-02	+2.094857E-05
75	+7.500000E-02	+2.244531E-05
80	+8.000000E-02	+2.394192E-05
85	+8.500000E-02	+2.543900E-05
90	+9.000000E-02	+2.693557E-05
95	+9.500000E-02	+2.843217E-05
100	+1.000000E-01	+2.992879E-05
