25.11.2022
11:27

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.994758E-05
-95	-9.500000E-02	-2.845188E-05
-90	-9.000000E-02	-2.695686E-05
-85	-8.500000E-02	-2.546149E-05
-80	-8.000000E-02	-2.396649E-05
-75	-7.500000E-02	-2.247096E-05
-70	-7.000000E-02	-2.097578E-05
-65	-6.500000E-02	-1.948047E-05
-60	-6.000000E-02	-1.798421E-05
-55	-5.500000E-02	-1.648874E-05
-50	-5.000000E-02	-1.499297E-05
-45	-4.500000E-02	-1.349707E-05
-40	-4.000000E-02	-1.200212E-05
-35	-3.500000E-02	-1.050711E-05
-30	-3.000000E-02	-9.019804E-06
-25	-2.500000E-02	-7.522636E-06
-20	-2.000000E-02	-6.026341E-06
-15	-1.500000E-02	-4.529372E-06
-10	-1.000000E-02	-3.031566E-06
-5	-5.000000E-03	-1.533995E-06
0	+0.000000E+00	-3.875294E-08
5	+5.000000E-03	+1.485871E-06
10	+1.000000E-02	+2.982174E-06
15	+1.500000E-02	+4.478754E-06
20	+2.000000E-02	+5.975793E-06
25	+2.500000E-02	+7.472207E-06
30	+3.000000E-02	+8.970504E-06
35	+3.500000E-02	+1.045712E-05
40	+4.000000E-02	+1.195353E-05
45	+4.500000E-02	+1.344857E-05
50	+5.000000E-02	+1.494418E-05
55	+5.500000E-02	+1.643977E-05
60	+6.000000E-02	+1.793496E-05
65	+6.500000E-02	+1.942998E-05
70	+7.000000E-02	+2.092550E-05
75	+7.500000E-02	+2.242093E-05
80	+8.000000E-02	+2.391620E-05
85	+8.500000E-02	+2.541265E-05
90	+9.000000E-02	+2.690685E-05
95	+9.500000E-02	+2.840121E-05
100	+1.000000E-01	+2.989647E-05
