25.11.2022
10:59

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.362270E-05
-95	-9.500000E-02	-6.044406E-05
-90	-9.000000E-02	-5.726668E-05
-85	-8.500000E-02	-5.409163E-05
-80	-8.000000E-02	-5.091399E-05
-75	-7.500000E-02	-4.773784E-05
-70	-7.000000E-02	-4.456187E-05
-65	-6.500000E-02	-4.138595E-05
-60	-6.000000E-02	-3.820629E-05
-55	-5.500000E-02	-3.502932E-05
-50	-5.000000E-02	-3.185308E-05
-45	-4.500000E-02	-2.867556E-05
-40	-4.000000E-02	-2.549920E-05
-35	-3.500000E-02	-2.232231E-05
-30	-3.000000E-02	-1.914274E-05
-25	-2.500000E-02	-1.596404E-05
-20	-2.000000E-02	-1.279020E-05
-15	-1.500000E-02	-9.631202E-06
-10	-1.000000E-02	-6.447121E-06
-5	-5.000000E-03	-3.261564E-06
0	+0.000000E+00	-8.430235E-08
5	+5.000000E-03	+3.158640E-06
10	+1.000000E-02	+6.336443E-06
15	+1.500000E-02	+9.514198E-06
20	+2.000000E-02	+1.268245E-05
25	+2.500000E-02	+1.585778E-05
30	+3.000000E-02	+1.903760E-05
35	+3.500000E-02	+2.221338E-05
40	+4.000000E-02	+2.539027E-05
45	+4.500000E-02	+2.856722E-05
50	+5.000000E-02	+3.174388E-05
55	+5.500000E-02	+3.492297E-05
60	+6.000000E-02	+3.809806E-05
65	+6.500000E-02	+4.127480E-05
70	+7.000000E-02	+4.445118E-05
75	+7.500000E-02	+4.762704E-05
80	+8.000000E-02	+5.080296E-05
85	+8.500000E-02	+5.398157E-05
90	+9.000000E-02	+5.715647E-05
95	+9.500000E-02	+6.033219E-05
100	+1.000000E-01	+6.350735E-05
