25.11.2022
10:55

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.366093E-05
-95	-9.500000E-02	-6.048066E-05
-90	-9.000000E-02	-5.730115E-05
-85	-8.500000E-02	-5.412419E-05
-80	-8.000000E-02	-5.094519E-05
-75	-7.500000E-02	-4.776673E-05
-70	-7.000000E-02	-4.458657E-05
-65	-6.500000E-02	-4.140720E-05
-60	-6.000000E-02	-3.822773E-05
-55	-5.500000E-02	-3.504970E-05
-50	-5.000000E-02	-3.187054E-05
-45	-4.500000E-02	-2.869047E-05
-40	-4.000000E-02	-2.551124E-05
-35	-3.500000E-02	-2.233474E-05
-30	-3.000000E-02	-1.915363E-05
-25	-2.500000E-02	-1.597317E-05
-20	-2.000000E-02	-1.279546E-05
-15	-1.500000E-02	-9.634909E-06
-10	-1.000000E-02	-6.448639E-06
-5	-5.000000E-03	-3.262125E-06
0	+0.000000E+00	-8.343021E-08
5	+5.000000E-03	+3.163303E-06
10	+1.000000E-02	+6.342349E-06
15	+1.500000E-02	+9.523228E-06
20	+2.000000E-02	+1.269319E-05
25	+2.500000E-02	+1.587159E-05
30	+3.000000E-02	+1.905246E-05
35	+3.500000E-02	+2.223041E-05
40	+4.000000E-02	+2.540843E-05
45	+4.500000E-02	+2.858728E-05
50	+5.000000E-02	+3.176773E-05
55	+5.500000E-02	+3.494807E-05
60	+6.000000E-02	+3.812490E-05
65	+6.500000E-02	+4.130375E-05
70	+7.000000E-02	+4.448211E-05
75	+7.500000E-02	+4.766125E-05
80	+8.000000E-02	+5.083821E-05
85	+8.500000E-02	+5.401804E-05
90	+9.000000E-02	+5.719749E-05
95	+9.500000E-02	+6.037487E-05
100	+1.000000E-01	+6.355193E-05
