25.11.2022
11:02

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.361424E-05
-95	-9.500000E-02	-6.043657E-05
-90	-9.000000E-02	-5.726018E-05
-85	-8.500000E-02	-5.408501E-05
-80	-8.000000E-02	-5.090818E-05
-75	-7.500000E-02	-4.773276E-05
-70	-7.000000E-02	-4.455564E-05
-65	-6.500000E-02	-4.137993E-05
-60	-6.000000E-02	-3.820033E-05
-55	-5.500000E-02	-3.502334E-05
-50	-5.000000E-02	-3.184642E-05
-45	-4.500000E-02	-2.866911E-05
-40	-4.000000E-02	-2.549488E-05
-35	-3.500000E-02	-2.231943E-05
-30	-3.000000E-02	-1.914074E-05
-25	-2.500000E-02	-1.596259E-05
-20	-2.000000E-02	-1.278642E-05
-15	-1.500000E-02	-9.629165E-06
-10	-1.000000E-02	-6.444925E-06
-5	-5.000000E-03	-3.259845E-06
0	+0.000000E+00	-8.474912E-08
5	+5.000000E-03	+3.158629E-06
10	+1.000000E-02	+6.336178E-06
15	+1.500000E-02	+9.515133E-06
20	+2.000000E-02	+1.268275E-05
25	+2.500000E-02	+1.585779E-05
30	+3.000000E-02	+1.903871E-05
35	+3.500000E-02	+2.221275E-05
40	+4.000000E-02	+2.538935E-05
45	+4.500000E-02	+2.856691E-05
50	+5.000000E-02	+3.174247E-05
55	+5.500000E-02	+3.492038E-05
60	+6.000000E-02	+3.809646E-05
65	+6.500000E-02	+4.127187E-05
70	+7.000000E-02	+4.444830E-05
75	+7.500000E-02	+4.762277E-05
80	+8.000000E-02	+5.079891E-05
85	+8.500000E-02	+5.397768E-05
90	+9.000000E-02	+5.715326E-05
95	+9.500000E-02	+6.032805E-05
100	+1.000000E-01	+6.350367E-05
