25.11.2022
10:57

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.363692E-05
-95	-9.500000E-02	-6.045775E-05
-90	-9.000000E-02	-5.728023E-05
-85	-8.500000E-02	-5.410426E-05
-80	-8.000000E-02	-5.092546E-05
-75	-7.500000E-02	-4.774863E-05
-70	-7.000000E-02	-4.457103E-05
-65	-6.500000E-02	-4.139424E-05
-60	-6.000000E-02	-3.821376E-05
-55	-5.500000E-02	-3.503665E-05
-50	-5.000000E-02	-3.185868E-05
-45	-4.500000E-02	-2.868077E-05
-40	-4.000000E-02	-2.550194E-05
-35	-3.500000E-02	-2.232619E-05
-30	-3.000000E-02	-1.914735E-05
-25	-2.500000E-02	-1.596708E-05
-20	-2.000000E-02	-1.279196E-05
-15	-1.500000E-02	-9.631945E-06
-10	-1.000000E-02	-6.446415E-06
-5	-5.000000E-03	-3.261274E-06
0	+0.000000E+00	-8.538413E-08
5	+5.000000E-03	+3.161043E-06
10	+1.000000E-02	+6.339621E-06
15	+1.500000E-02	+9.519738E-06
20	+2.000000E-02	+1.268783E-05
25	+2.500000E-02	+1.586590E-05
30	+3.000000E-02	+1.904645E-05
35	+3.500000E-02	+2.222290E-05
40	+4.000000E-02	+2.539970E-05
45	+4.500000E-02	+2.857718E-05
50	+5.000000E-02	+3.175601E-05
55	+5.500000E-02	+3.493525E-05
60	+6.000000E-02	+3.811168E-05
65	+6.500000E-02	+4.128825E-05
70	+7.000000E-02	+4.446467E-05
75	+7.500000E-02	+4.764178E-05
80	+8.000000E-02	+5.081897E-05
85	+8.500000E-02	+5.399784E-05
90	+9.000000E-02	+5.717293E-05
95	+9.500000E-02	+6.034847E-05
100	+1.000000E-01	+6.352532E-05
