10.11.2022
10:27

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.251698E-05
-90	-9.000000E-02	-5.627254E-05
-80	-8.000000E-02	-5.003184E-05
-70	-7.000000E-02	-4.379031E-05
-60	-6.000000E-02	-3.754417E-05
-50	-5.000000E-02	-3.130196E-05
-40	-4.000000E-02	-2.505930E-05
-30	-3.000000E-02	-1.881462E-05
-20	-2.000000E-02	-1.257143E-05
-10	-1.000000E-02	-6.337190E-06
0	+0.000000E+00	-8.920514E-08
10	+1.000000E-02	+6.225844E-06
20	+2.000000E-02	+1.245713E-05
30	+3.000000E-02	+1.870333E-05
40	+4.000000E-02	+2.494552E-05
50	+5.000000E-02	+3.118883E-05
60	+6.000000E-02	+3.743313E-05
70	+7.000000E-02	+4.367489E-05
80	+8.000000E-02	+4.991665E-05
90	+9.000000E-02	+5.615966E-05
100	+1.000000E-01	+6.240122E-05
