25.11.2022
10:53

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.365425E-05
-95	-9.500000E-02	-6.047358E-05
-90	-9.000000E-02	-5.729508E-05
-85	-8.500000E-02	-5.411891E-05
-80	-8.000000E-02	-5.094040E-05
-75	-7.500000E-02	-4.776161E-05
-70	-7.000000E-02	-4.458369E-05
-65	-6.500000E-02	-4.140510E-05
-60	-6.000000E-02	-3.822425E-05
-55	-5.500000E-02	-3.504739E-05
-50	-5.000000E-02	-3.186895E-05
-45	-4.500000E-02	-2.868766E-05
-40	-4.000000E-02	-2.551146E-05
-35	-3.500000E-02	-2.233262E-05
-30	-3.000000E-02	-1.915244E-05
-25	-2.500000E-02	-1.597255E-05
-20	-2.000000E-02	-1.279544E-05
-15	-1.500000E-02	-9.634587E-06
-10	-1.000000E-02	-6.448871E-06
-5	-5.000000E-03	-3.262675E-06
0	+0.000000E+00	-8.247636E-08
5	+5.000000E-03	+3.162449E-06
10	+1.000000E-02	+6.342679E-06
15	+1.500000E-02	+9.522515E-06
20	+2.000000E-02	+1.269119E-05
25	+2.500000E-02	+1.587120E-05
30	+3.000000E-02	+1.905168E-05
35	+3.500000E-02	+2.222973E-05
40	+4.000000E-02	+2.540806E-05
45	+4.500000E-02	+2.858622E-05
50	+5.000000E-02	+3.176566E-05
55	+5.500000E-02	+3.494734E-05
60	+6.000000E-02	+3.812386E-05
65	+6.500000E-02	+4.130141E-05
70	+7.000000E-02	+4.448040E-05
75	+7.500000E-02	+4.765850E-05
80	+8.000000E-02	+5.083583E-05
85	+8.500000E-02	+5.401798E-05
90	+9.000000E-02	+5.719528E-05
95	+9.500000E-02	+6.037151E-05
100	+1.000000E-01	+6.354920E-05
