25.11.2022
10:58

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.362328E-05
-95	-9.500000E-02	-6.044428E-05
-90	-9.000000E-02	-5.726634E-05
-85	-8.500000E-02	-5.409176E-05
-80	-8.000000E-02	-5.091470E-05
-75	-7.500000E-02	-4.773789E-05
-70	-7.000000E-02	-4.456137E-05
-65	-6.500000E-02	-4.138586E-05
-60	-6.000000E-02	-3.820499E-05
-55	-5.500000E-02	-3.502852E-05
-50	-5.000000E-02	-3.185096E-05
-45	-4.500000E-02	-2.867469E-05
-40	-4.000000E-02	-2.549793E-05
-35	-3.500000E-02	-2.232268E-05
-30	-3.000000E-02	-1.914307E-05
-25	-2.500000E-02	-1.596476E-05
-20	-2.000000E-02	-1.279018E-05
-15	-1.500000E-02	-9.629697E-06
-10	-1.000000E-02	-6.446223E-06
-5	-5.000000E-03	-3.261408E-06
0	+0.000000E+00	-8.413084E-08
5	+5.000000E-03	+3.159593E-06
10	+1.000000E-02	+6.337645E-06
15	+1.500000E-02	+9.516987E-06
20	+2.000000E-02	+1.268564E-05
25	+2.500000E-02	+1.586061E-05
30	+3.000000E-02	+1.904021E-05
35	+3.500000E-02	+2.221667E-05
40	+4.000000E-02	+2.539377E-05
45	+4.500000E-02	+2.856980E-05
50	+5.000000E-02	+3.174553E-05
55	+5.500000E-02	+3.492429E-05
60	+6.000000E-02	+3.810175E-05
65	+6.500000E-02	+4.127854E-05
70	+7.000000E-02	+4.445386E-05
75	+7.500000E-02	+4.763109E-05
80	+8.000000E-02	+5.080481E-05
85	+8.500000E-02	+5.398379E-05
90	+9.000000E-02	+5.715954E-05
95	+9.500000E-02	+6.033473E-05
100	+1.000000E-01	+6.351035E-05
