25.11.2022
10:56

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.364805E-05
-95	-9.500000E-02	-6.046802E-05
-90	-9.000000E-02	-5.728927E-05
-85	-8.500000E-02	-5.411407E-05
-80	-8.000000E-02	-5.093477E-05
-75	-7.500000E-02	-4.775666E-05
-70	-7.000000E-02	-4.457994E-05
-65	-6.500000E-02	-4.140169E-05
-60	-6.000000E-02	-3.822023E-05
-55	-5.500000E-02	-3.504200E-05
-50	-5.000000E-02	-3.186301E-05
-45	-4.500000E-02	-2.868468E-05
-40	-4.000000E-02	-2.550721E-05
-35	-3.500000E-02	-2.232951E-05
-30	-3.000000E-02	-1.914903E-05
-25	-2.500000E-02	-1.597052E-05
-20	-2.000000E-02	-1.279347E-05
-15	-1.500000E-02	-9.632998E-06
-10	-1.000000E-02	-6.447481E-06
-5	-5.000000E-03	-3.260393E-06
0	+0.000000E+00	-8.155311E-08
5	+5.000000E-03	+3.162390E-06
10	+1.000000E-02	+6.342117E-06
15	+1.500000E-02	+9.520732E-06
20	+2.000000E-02	+1.268958E-05
25	+2.500000E-02	+1.586763E-05
30	+3.000000E-02	+1.904785E-05
35	+3.500000E-02	+2.222557E-05
40	+4.000000E-02	+2.540501E-05
45	+4.500000E-02	+2.858353E-05
50	+5.000000E-02	+3.176024E-05
55	+5.500000E-02	+3.494032E-05
60	+6.000000E-02	+3.811775E-05
65	+6.500000E-02	+4.129478E-05
70	+7.000000E-02	+4.447320E-05
75	+7.500000E-02	+4.765093E-05
80	+8.000000E-02	+5.082639E-05
85	+8.500000E-02	+5.400728E-05
90	+9.000000E-02	+5.718378E-05
95	+9.500000E-02	+6.036113E-05
100	+1.000000E-01	+6.353660E-05
