25.11.2022
10:54

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.366688E-05
-95	-9.500000E-02	-6.048553E-05
-90	-9.000000E-02	-5.730553E-05
-85	-8.500000E-02	-5.412952E-05
-80	-8.000000E-02	-5.094779E-05
-75	-7.500000E-02	-4.777016E-05
-70	-7.000000E-02	-4.459160E-05
-65	-6.500000E-02	-4.141411E-05
-60	-6.000000E-02	-3.823182E-05
-55	-5.500000E-02	-3.505313E-05
-50	-5.000000E-02	-3.187341E-05
-45	-4.500000E-02	-2.869548E-05
-40	-4.000000E-02	-2.551469E-05
-35	-3.500000E-02	-2.233668E-05
-30	-3.000000E-02	-1.915543E-05
-25	-2.500000E-02	-1.597453E-05
-20	-2.000000E-02	-1.279819E-05
-15	-1.500000E-02	-9.636537E-06
-10	-1.000000E-02	-6.449714E-06
-5	-5.000000E-03	-3.263016E-06
0	+0.000000E+00	-8.448954E-08
5	+5.000000E-03	+3.163358E-06
10	+1.000000E-02	+6.342589E-06
15	+1.500000E-02	+9.524065E-06
20	+2.000000E-02	+1.269457E-05
25	+2.500000E-02	+1.587198E-05
30	+3.000000E-02	+1.905354E-05
35	+3.500000E-02	+2.223264E-05
40	+4.000000E-02	+2.541102E-05
45	+4.500000E-02	+2.859086E-05
50	+5.000000E-02	+3.176835E-05
55	+5.500000E-02	+3.495001E-05
60	+6.000000E-02	+3.812913E-05
65	+6.500000E-02	+4.130759E-05
70	+7.000000E-02	+4.448550E-05
75	+7.500000E-02	+4.766334E-05
80	+8.000000E-02	+5.084213E-05
85	+8.500000E-02	+5.402280E-05
90	+9.000000E-02	+5.720136E-05
95	+9.500000E-02	+6.037936E-05
100	+1.000000E-01	+6.355551E-05
