25.11.2022
11:01

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.360920E-05
-95	-9.500000E-02	-6.043156E-05
-90	-9.000000E-02	-5.725562E-05
-85	-8.500000E-02	-5.407973E-05
-80	-8.000000E-02	-5.090367E-05
-75	-7.500000E-02	-4.772856E-05
-70	-7.000000E-02	-4.455174E-05
-65	-6.500000E-02	-4.137638E-05
-60	-6.000000E-02	-3.819760E-05
-55	-5.500000E-02	-3.502281E-05
-50	-5.000000E-02	-3.184576E-05
-45	-4.500000E-02	-2.866878E-05
-40	-4.000000E-02	-2.549386E-05
-35	-3.500000E-02	-2.231714E-05
-30	-3.000000E-02	-1.913949E-05
-25	-2.500000E-02	-1.596121E-05
-20	-2.000000E-02	-1.278586E-05
-15	-1.500000E-02	-9.628614E-06
-10	-1.000000E-02	-6.443875E-06
-5	-5.000000E-03	-3.259154E-06
0	+0.000000E+00	-8.458499E-08
5	+5.000000E-03	+3.158567E-06
10	+1.000000E-02	+6.337513E-06
15	+1.500000E-02	+9.514846E-06
20	+2.000000E-02	+1.268245E-05
25	+2.500000E-02	+1.585815E-05
30	+3.000000E-02	+1.903679E-05
35	+3.500000E-02	+2.221290E-05
40	+4.000000E-02	+2.538791E-05
45	+4.500000E-02	+2.856377E-05
50	+5.000000E-02	+3.174062E-05
55	+5.500000E-02	+3.491751E-05
60	+6.000000E-02	+3.809335E-05
65	+6.500000E-02	+4.126934E-05
70	+7.000000E-02	+4.444469E-05
75	+7.500000E-02	+4.762086E-05
80	+8.000000E-02	+5.079554E-05
85	+8.500000E-02	+5.397396E-05
90	+9.000000E-02	+5.714780E-05
95	+9.500000E-02	+6.032405E-05
100	+1.000000E-01	+6.349973E-05
