10.11.2022
10:27

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.250793E-05
-90	-9.000000E-02	-5.626401E-05
-80	-8.000000E-02	-5.002411E-05
-70	-7.000000E-02	-4.378222E-05
-60	-6.000000E-02	-3.753801E-05
-50	-5.000000E-02	-3.129702E-05
-40	-4.000000E-02	-2.505528E-05
-30	-3.000000E-02	-1.881114E-05
-20	-2.000000E-02	-1.256958E-05
-10	-1.000000E-02	-6.337327E-06
0	+0.000000E+00	-8.656519E-08
10	+1.000000E-02	+6.225668E-06
20	+2.000000E-02	+1.245794E-05
30	+3.000000E-02	+1.870142E-05
40	+4.000000E-02	+2.494237E-05
50	+5.000000E-02	+3.118327E-05
60	+6.000000E-02	+3.742698E-05
70	+7.000000E-02	+4.366805E-05
80	+8.000000E-02	+4.990783E-05
90	+9.000000E-02	+5.615078E-05
100	+1.000000E-01	+6.239141E-05
