25.11.2022
11:02

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.361489E-05
-95	-9.500000E-02	-6.043623E-05
-90	-9.000000E-02	-5.726039E-05
-85	-8.500000E-02	-5.408567E-05
-80	-8.000000E-02	-5.091030E-05
-75	-7.500000E-02	-4.773283E-05
-70	-7.000000E-02	-4.455585E-05
-65	-6.500000E-02	-4.137959E-05
-60	-6.000000E-02	-3.820038E-05
-55	-5.500000E-02	-3.502421E-05
-50	-5.000000E-02	-3.184975E-05
-45	-4.500000E-02	-2.867233E-05
-40	-4.000000E-02	-2.549548E-05
-35	-3.500000E-02	-2.231929E-05
-30	-3.000000E-02	-1.914165E-05
-25	-2.500000E-02	-1.596356E-05
-20	-2.000000E-02	-1.278922E-05
-15	-1.500000E-02	-9.630209E-06
-10	-1.000000E-02	-6.445518E-06
-5	-5.000000E-03	-3.261662E-06
0	+0.000000E+00	-8.633945E-08
5	+5.000000E-03	+3.158544E-06
10	+1.000000E-02	+6.337549E-06
15	+1.500000E-02	+9.514582E-06
20	+2.000000E-02	+1.268336E-05
25	+2.500000E-02	+1.585992E-05
30	+3.000000E-02	+1.903895E-05
35	+3.500000E-02	+2.221414E-05
40	+4.000000E-02	+2.539014E-05
45	+4.500000E-02	+2.856628E-05
50	+5.000000E-02	+3.174333E-05
55	+5.500000E-02	+3.492189E-05
60	+6.000000E-02	+3.809770E-05
65	+6.500000E-02	+4.127292E-05
70	+7.000000E-02	+4.444909E-05
75	+7.500000E-02	+4.762516E-05
80	+8.000000E-02	+5.079961E-05
85	+8.500000E-02	+5.397796E-05
90	+9.000000E-02	+5.715382E-05
95	+9.500000E-02	+6.032801E-05
100	+1.000000E-01	+6.350165E-05
