10.11.2022
10:28

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.252884E-05
-90	-9.000000E-02	-5.628484E-05
-80	-8.000000E-02	-5.004085E-05
-70	-7.000000E-02	-4.379736E-05
-60	-6.000000E-02	-3.755156E-05
-50	-5.000000E-02	-3.130914E-05
-40	-4.000000E-02	-2.506575E-05
-30	-3.000000E-02	-1.881988E-05
-20	-2.000000E-02	-1.257519E-05
-10	-1.000000E-02	-6.339824E-06
0	+0.000000E+00	-8.883932E-08
10	+1.000000E-02	+6.226497E-06
20	+2.000000E-02	+1.245990E-05
30	+3.000000E-02	+1.870572E-05
40	+4.000000E-02	+2.494915E-05
50	+5.000000E-02	+3.119478E-05
60	+6.000000E-02	+3.743978E-05
70	+7.000000E-02	+4.368227E-05
80	+8.000000E-02	+4.992514E-05
90	+9.000000E-02	+5.616889E-05
100	+1.000000E-01	+6.241084E-05
