25.11.2022
10:59

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.361871E-05
-95	-9.500000E-02	-6.043999E-05
-90	-9.000000E-02	-5.726384E-05
-85	-8.500000E-02	-5.408798E-05
-80	-8.000000E-02	-5.091184E-05
-75	-7.500000E-02	-4.773629E-05
-70	-7.000000E-02	-4.455998E-05
-65	-6.500000E-02	-4.138242E-05
-60	-6.000000E-02	-3.820287E-05
-55	-5.500000E-02	-3.502679E-05
-50	-5.000000E-02	-3.184874E-05
-45	-4.500000E-02	-2.867221E-05
-40	-4.000000E-02	-2.549639E-05
-35	-3.500000E-02	-2.232063E-05
-30	-3.000000E-02	-1.914170E-05
-25	-2.500000E-02	-1.596296E-05
-20	-2.000000E-02	-1.278811E-05
-15	-1.500000E-02	-9.628578E-06
-10	-1.000000E-02	-6.445408E-06
-5	-5.000000E-03	-3.259686E-06
0	+0.000000E+00	-8.430816E-08
5	+5.000000E-03	+3.159018E-06
10	+1.000000E-02	+6.337943E-06
15	+1.500000E-02	+9.516066E-06
20	+2.000000E-02	+1.268337E-05
25	+2.500000E-02	+1.585909E-05
30	+3.000000E-02	+1.903771E-05
35	+3.500000E-02	+2.221470E-05
40	+4.000000E-02	+2.538974E-05
45	+4.500000E-02	+2.856816E-05
50	+5.000000E-02	+3.174652E-05
55	+5.500000E-02	+3.492510E-05
60	+6.000000E-02	+3.809919E-05
65	+6.500000E-02	+4.127657E-05
70	+7.000000E-02	+4.445354E-05
75	+7.500000E-02	+4.762935E-05
80	+8.000000E-02	+5.080547E-05
85	+8.500000E-02	+5.398339E-05
90	+9.000000E-02	+5.716047E-05
95	+9.500000E-02	+6.033518E-05
100	+1.000000E-01	+6.351201E-05
