10.11.2022
10:28

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.252229E-05
-90	-9.000000E-02	-5.627726E-05
-80	-8.000000E-02	-5.003508E-05
-70	-7.000000E-02	-4.379309E-05
-60	-6.000000E-02	-3.754775E-05
-50	-5.000000E-02	-3.130506E-05
-40	-4.000000E-02	-2.506092E-05
-30	-3.000000E-02	-1.881656E-05
-20	-2.000000E-02	-1.257287E-05
-10	-1.000000E-02	-6.338987E-06
0	+0.000000E+00	-8.798828E-08
10	+1.000000E-02	+6.225810E-06
20	+2.000000E-02	+1.245865E-05
30	+3.000000E-02	+1.870481E-05
40	+4.000000E-02	+2.494813E-05
50	+5.000000E-02	+3.119020E-05
60	+6.000000E-02	+3.743551E-05
70	+7.000000E-02	+4.367818E-05
80	+8.000000E-02	+4.991965E-05
90	+9.000000E-02	+5.616354E-05
100	+1.000000E-01	+6.240496E-05
