25.11.2022
11:00

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.361480E-05
-95	-9.500000E-02	-6.043771E-05
-90	-9.000000E-02	-5.726095E-05
-85	-8.500000E-02	-5.408712E-05
-80	-8.000000E-02	-5.090909E-05
-75	-7.500000E-02	-4.773379E-05
-70	-7.000000E-02	-4.455739E-05
-65	-6.500000E-02	-4.138114E-05
-60	-6.000000E-02	-3.820172E-05
-55	-5.500000E-02	-3.502648E-05
-50	-5.000000E-02	-3.184827E-05
-45	-4.500000E-02	-2.867208E-05
-40	-4.000000E-02	-2.549588E-05
-35	-3.500000E-02	-2.232177E-05
-30	-3.000000E-02	-1.914311E-05
-25	-2.500000E-02	-1.596479E-05
-20	-2.000000E-02	-1.279060E-05
-15	-1.500000E-02	-9.630759E-06
-10	-1.000000E-02	-6.445357E-06
-5	-5.000000E-03	-3.262583E-06
0	+0.000000E+00	-8.448921E-08
5	+5.000000E-03	+3.158052E-06
10	+1.000000E-02	+6.336167E-06
15	+1.500000E-02	+9.513895E-06
20	+2.000000E-02	+1.268223E-05
25	+2.500000E-02	+1.585752E-05
30	+3.000000E-02	+1.903647E-05
35	+3.500000E-02	+2.221164E-05
40	+4.000000E-02	+2.538806E-05
45	+4.500000E-02	+2.856389E-05
50	+5.000000E-02	+3.174032E-05
55	+5.500000E-02	+3.491929E-05
60	+6.000000E-02	+3.809482E-05
65	+6.500000E-02	+4.126996E-05
70	+7.000000E-02	+4.444619E-05
75	+7.500000E-02	+4.762169E-05
80	+8.000000E-02	+5.079603E-05
85	+8.500000E-02	+5.397391E-05
90	+9.000000E-02	+5.714987E-05
95	+9.500000E-02	+6.032504E-05
100	+1.000000E-01	+6.350019E-05
