25.11.2022
10:59

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.362059E-05
-95	-9.500000E-02	-6.044334E-05
-90	-9.000000E-02	-5.726561E-05
-85	-8.500000E-02	-5.408967E-05
-80	-8.000000E-02	-5.091359E-05
-75	-7.500000E-02	-4.773652E-05
-70	-7.000000E-02	-4.456137E-05
-65	-6.500000E-02	-4.138270E-05
-60	-6.000000E-02	-3.820438E-05
-55	-5.500000E-02	-3.502750E-05
-50	-5.000000E-02	-3.185062E-05
-45	-4.500000E-02	-2.867436E-05
-40	-4.000000E-02	-2.549892E-05
-35	-3.500000E-02	-2.232211E-05
-30	-3.000000E-02	-1.914372E-05
-25	-2.500000E-02	-1.596541E-05
-20	-2.000000E-02	-1.278898E-05
-15	-1.500000E-02	-9.631402E-06
-10	-1.000000E-02	-6.446320E-06
-5	-5.000000E-03	-3.262403E-06
0	+0.000000E+00	-8.355537E-08
5	+5.000000E-03	+3.158868E-06
10	+1.000000E-02	+6.335984E-06
15	+1.500000E-02	+9.514435E-06
20	+2.000000E-02	+1.268265E-05
25	+2.500000E-02	+1.585715E-05
30	+3.000000E-02	+1.903832E-05
35	+3.500000E-02	+2.221294E-05
40	+4.000000E-02	+2.539139E-05
45	+4.500000E-02	+2.856736E-05
50	+5.000000E-02	+3.174367E-05
55	+5.500000E-02	+3.492227E-05
60	+6.000000E-02	+3.809879E-05
65	+6.500000E-02	+4.127434E-05
70	+7.000000E-02	+4.445261E-05
75	+7.500000E-02	+4.762809E-05
80	+8.000000E-02	+5.080353E-05
85	+8.500000E-02	+5.398286E-05
90	+9.000000E-02	+5.715650E-05
95	+9.500000E-02	+6.033206E-05
100	+1.000000E-01	+6.350692E-05
