10.11.2022
10:26

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.249675E-05
-90	-9.000000E-02	-5.625359E-05
-80	-8.000000E-02	-5.001396E-05
-70	-7.000000E-02	-4.377369E-05
-60	-6.000000E-02	-3.753003E-05
-50	-5.000000E-02	-3.129159E-05
-40	-4.000000E-02	-2.504951E-05
-30	-3.000000E-02	-1.880759E-05
-20	-2.000000E-02	-1.256663E-05
-10	-1.000000E-02	-6.335306E-06
0	+0.000000E+00	-8.907686E-08
10	+1.000000E-02	+6.224547E-06
20	+2.000000E-02	+1.245435E-05
30	+3.000000E-02	+1.869745E-05
40	+4.000000E-02	+2.493663E-05
50	+5.000000E-02	+3.117612E-05
60	+6.000000E-02	+3.741924E-05
70	+7.000000E-02	+4.365963E-05
80	+8.000000E-02	+4.989834E-05
90	+9.000000E-02	+5.614074E-05
100	+1.000000E-01	+6.237684E-05
