10.11.2022
10:25

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.247852E-05
-90	-9.000000E-02	-5.623728E-05
-80	-8.000000E-02	-5.000165E-05
-70	-7.000000E-02	-4.376189E-05
-60	-6.000000E-02	-3.751980E-05
-50	-5.000000E-02	-3.128097E-05
-40	-4.000000E-02	-2.504341E-05
-30	-3.000000E-02	-1.880294E-05
-20	-2.000000E-02	-1.256413E-05
-10	-1.000000E-02	-6.335555E-06
0	+0.000000E+00	-8.921391E-08
10	+1.000000E-02	+6.222333E-06
20	+2.000000E-02	+1.245043E-05
30	+3.000000E-02	+1.869190E-05
40	+4.000000E-02	+2.493008E-05
50	+5.000000E-02	+3.116871E-05
60	+6.000000E-02	+3.741014E-05
70	+7.000000E-02	+4.364908E-05
80	+8.000000E-02	+4.988559E-05
90	+9.000000E-02	+5.612508E-05
100	+1.000000E-01	+6.236194E-05
