25.11.2022
10:58

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-6.362578E-05
-95	-9.500000E-02	-6.044885E-05
-90	-9.000000E-02	-5.726984E-05
-85	-8.500000E-02	-5.409411E-05
-80	-8.000000E-02	-5.091765E-05
-75	-7.500000E-02	-4.774031E-05
-70	-7.000000E-02	-4.456244E-05
-65	-6.500000E-02	-4.138803E-05
-60	-6.000000E-02	-3.820683E-05
-55	-5.500000E-02	-3.503044E-05
-50	-5.000000E-02	-3.185308E-05
-45	-4.500000E-02	-2.867588E-05
-40	-4.000000E-02	-2.549874E-05
-35	-3.500000E-02	-2.232216E-05
-30	-3.000000E-02	-1.914300E-05
-25	-2.500000E-02	-1.596576E-05
-20	-2.000000E-02	-1.278986E-05
-15	-1.500000E-02	-9.630976E-06
-10	-1.000000E-02	-6.446186E-06
-5	-5.000000E-03	-3.259636E-06
0	+0.000000E+00	-8.430131E-08
5	+5.000000E-03	+3.161163E-06
10	+1.000000E-02	+6.338863E-06
15	+1.500000E-02	+9.517206E-06
20	+2.000000E-02	+1.268575E-05
25	+2.500000E-02	+1.586359E-05
30	+3.000000E-02	+1.904234E-05
35	+3.500000E-02	+2.221835E-05
40	+4.000000E-02	+2.539531E-05
45	+4.500000E-02	+2.857149E-05
50	+5.000000E-02	+3.174820E-05
55	+5.500000E-02	+3.492678E-05
60	+6.000000E-02	+3.810266E-05
65	+6.500000E-02	+4.127870E-05
70	+7.000000E-02	+4.445737E-05
75	+7.500000E-02	+4.763361E-05
80	+8.000000E-02	+5.080902E-05
85	+8.500000E-02	+5.398777E-05
90	+9.000000E-02	+5.716260E-05
95	+9.500000E-02	+6.033977E-05
100	+1.000000E-01	+6.351503E-05
