10.11.2022
10:18

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.506132E-05
-90	-9.000000E-02	-3.155887E-05
-80	-8.000000E-02	-2.805784E-05
-70	-7.000000E-02	-2.455714E-05
-60	-6.000000E-02	-2.105402E-05
-50	-5.000000E-02	-1.755418E-05
-40	-4.000000E-02	-1.405211E-05
-30	-3.000000E-02	-1.054991E-05
-20	-2.000000E-02	-7.056240E-06
-10	-1.000000E-02	-3.550320E-06
0	+0.000000E+00	-4.687551E-08
10	+1.000000E-02	+3.490034E-06
20	+2.000000E-02	+6.994242E-06
30	+3.000000E-02	+1.048978E-05
40	+4.000000E-02	+1.399186E-05
50	+5.000000E-02	+1.749259E-05
60	+6.000000E-02	+2.099409E-05
70	+7.000000E-02	+2.449549E-05
80	+8.000000E-02	+2.799657E-05
90	+9.000000E-02	+3.149818E-05
100	+1.000000E-01	+3.499834E-05
