10.11.2022
10:19

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.507316E-05
-90	-9.000000E-02	-3.157072E-05
-80	-8.000000E-02	-2.806763E-05
-70	-7.000000E-02	-2.456552E-05
-60	-6.000000E-02	-2.106223E-05
-50	-5.000000E-02	-1.756003E-05
-40	-4.000000E-02	-1.405813E-05
-30	-3.000000E-02	-1.055395E-05
-20	-2.000000E-02	-7.059739E-06
-10	-1.000000E-02	-3.551135E-06
0	+0.000000E+00	-4.704568E-08
10	+1.000000E-02	+3.491980E-06
20	+2.000000E-02	+6.997782E-06
30	+3.000000E-02	+1.049386E-05
40	+4.000000E-02	+1.399652E-05
50	+5.000000E-02	+1.749853E-05
60	+6.000000E-02	+2.100240E-05
70	+7.000000E-02	+2.450469E-05
80	+8.000000E-02	+2.800507E-05
90	+9.000000E-02	+3.150910E-05
100	+1.000000E-01	+3.501011E-05
