10.11.2022
10:17

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.504894E-05
-90	-9.000000E-02	-3.154885E-05
-80	-8.000000E-02	-2.804908E-05
-70	-7.000000E-02	-2.454957E-05
-60	-6.000000E-02	-2.104778E-05
-50	-5.000000E-02	-1.754841E-05
-40	-4.000000E-02	-1.404835E-05
-30	-3.000000E-02	-1.054894E-05
-20	-2.000000E-02	-7.056095E-06
-10	-1.000000E-02	-3.550213E-06
0	+0.000000E+00	-4.780571E-08
10	+1.000000E-02	+3.488078E-06
20	+2.000000E-02	+6.991276E-06
30	+3.000000E-02	+1.048529E-05
40	+4.000000E-02	+1.398632E-05
50	+5.000000E-02	+1.748519E-05
60	+6.000000E-02	+2.098744E-05
70	+7.000000E-02	+2.448694E-05
80	+8.000000E-02	+2.798527E-05
90	+9.000000E-02	+3.148583E-05
100	+1.000000E-01	+3.498512E-05
