25.11.2022
11:21

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.591242E-05
-95	-9.500000E-02	-3.411699E-05
-90	-9.000000E-02	-3.232486E-05
-85	-8.500000E-02	-3.053239E-05
-80	-8.000000E-02	-2.873891E-05
-75	-7.500000E-02	-2.694608E-05
-70	-7.000000E-02	-2.515195E-05
-65	-6.500000E-02	-2.335907E-05
-60	-6.000000E-02	-2.156501E-05
-55	-5.500000E-02	-1.977215E-05
-50	-5.000000E-02	-1.797914E-05
-45	-4.500000E-02	-1.618588E-05
-40	-4.000000E-02	-1.439233E-05
-35	-3.500000E-02	-1.259963E-05
-30	-3.000000E-02	-1.080548E-05
-25	-2.500000E-02	-9.021849E-06
-20	-2.000000E-02	-7.227271E-06
-15	-1.500000E-02	-5.430929E-06
-10	-1.000000E-02	-3.634850E-06
-5	-5.000000E-03	-1.839391E-06
0	+0.000000E+00	-4.614248E-08
5	+5.000000E-03	+1.782142E-06
10	+1.000000E-02	+3.577585E-06
15	+1.500000E-02	+5.372358E-06
20	+2.000000E-02	+7.167482E-06
25	+2.500000E-02	+8.961290E-06
30	+3.000000E-02	+1.074771E-05
35	+3.500000E-02	+1.254139E-05
40	+4.000000E-02	+1.433485E-05
45	+4.500000E-02	+1.612786E-05
50	+5.000000E-02	+1.792063E-05
55	+5.500000E-02	+1.971521E-05
60	+6.000000E-02	+2.150774E-05
65	+6.500000E-02	+2.330097E-05
70	+7.000000E-02	+2.509461E-05
75	+7.500000E-02	+2.688808E-05
80	+8.000000E-02	+2.868050E-05
85	+8.500000E-02	+3.047583E-05
90	+9.000000E-02	+3.226775E-05
95	+9.500000E-02	+3.406061E-05
100	+1.000000E-01	+3.585302E-05
