25.11.2022
11:26

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.593650E-05
-95	-9.500000E-02	-3.414194E-05
-90	-9.000000E-02	-3.234728E-05
-85	-8.500000E-02	-3.055362E-05
-80	-8.000000E-02	-2.875964E-05
-75	-7.500000E-02	-2.696624E-05
-70	-7.000000E-02	-2.517066E-05
-65	-6.500000E-02	-2.337706E-05
-60	-6.000000E-02	-2.158109E-05
-55	-5.500000E-02	-1.978700E-05
-50	-5.000000E-02	-1.799180E-05
-45	-4.500000E-02	-1.619682E-05
-40	-4.000000E-02	-1.440304E-05
-35	-3.500000E-02	-1.260869E-05
-30	-3.000000E-02	-1.081338E-05
-25	-2.500000E-02	-9.028071E-06
-20	-2.000000E-02	-7.232911E-06
-15	-1.500000E-02	-5.435834E-06
-10	-1.000000E-02	-3.637982E-06
-5	-5.000000E-03	-1.840233E-06
0	+0.000000E+00	-4.675643E-08
5	+5.000000E-03	+1.784221E-06
10	+1.000000E-02	+3.580227E-06
15	+1.500000E-02	+5.375748E-06
20	+2.000000E-02	+7.172315E-06
25	+2.500000E-02	+8.967492E-06
30	+3.000000E-02	+1.075489E-05
35	+3.500000E-02	+1.254949E-05
40	+4.000000E-02	+1.434459E-05
45	+4.500000E-02	+1.613906E-05
50	+5.000000E-02	+1.793270E-05
55	+5.500000E-02	+1.972818E-05
60	+6.000000E-02	+2.152332E-05
65	+6.500000E-02	+2.331685E-05
70	+7.000000E-02	+2.511115E-05
75	+7.500000E-02	+2.690577E-05
80	+8.000000E-02	+2.869898E-05
85	+8.500000E-02	+3.049406E-05
90	+9.000000E-02	+3.228776E-05
95	+9.500000E-02	+3.408203E-05
100	+1.000000E-01	+3.587497E-05
