25.11.2022
11:23

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.592446E-05
-95	-9.500000E-02	-3.412877E-05
-90	-9.000000E-02	-3.233587E-05
-85	-8.500000E-02	-3.054221E-05
-80	-8.000000E-02	-2.874911E-05
-75	-7.500000E-02	-2.695549E-05
-70	-7.000000E-02	-2.516171E-05
-65	-6.500000E-02	-2.336802E-05
-60	-6.000000E-02	-2.157227E-05
-55	-5.500000E-02	-1.977870E-05
-50	-5.000000E-02	-1.798507E-05
-45	-4.500000E-02	-1.619197E-05
-40	-4.000000E-02	-1.439702E-05
-35	-3.500000E-02	-1.260378E-05
-30	-3.000000E-02	-1.080900E-05
-25	-2.500000E-02	-9.025256E-06
-20	-2.000000E-02	-7.230385E-06
-15	-1.500000E-02	-5.434029E-06
-10	-1.000000E-02	-3.637094E-06
-5	-5.000000E-03	-1.840516E-06
0	+0.000000E+00	-4.730411E-08
5	+5.000000E-03	+1.783615E-06
10	+1.000000E-02	+3.578820E-06
15	+1.500000E-02	+5.373547E-06
20	+2.000000E-02	+7.169729E-06
25	+2.500000E-02	+8.964403E-06
30	+3.000000E-02	+1.075053E-05
35	+3.500000E-02	+1.254512E-05
40	+4.000000E-02	+1.433848E-05
45	+4.500000E-02	+1.613180E-05
50	+5.000000E-02	+1.792498E-05
55	+5.500000E-02	+1.971999E-05
60	+6.000000E-02	+2.151442E-05
65	+6.500000E-02	+2.330807E-05
70	+7.000000E-02	+2.510185E-05
75	+7.500000E-02	+2.689478E-05
80	+8.000000E-02	+2.868769E-05
85	+8.500000E-02	+3.048362E-05
90	+9.000000E-02	+3.227537E-05
95	+9.500000E-02	+3.406913E-05
100	+1.000000E-01	+3.586198E-05
