10.11.2022
10:18

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.505772E-05
-90	-9.000000E-02	-3.155595E-05
-80	-8.000000E-02	-2.805552E-05
-70	-7.000000E-02	-2.455622E-05
-60	-6.000000E-02	-2.105309E-05
-50	-5.000000E-02	-1.755258E-05
-40	-4.000000E-02	-1.405115E-05
-30	-3.000000E-02	-1.054990E-05
-20	-2.000000E-02	-7.056993E-06
-10	-1.000000E-02	-3.550386E-06
0	+0.000000E+00	-4.741599E-08
10	+1.000000E-02	+3.489881E-06
20	+2.000000E-02	+6.993622E-06
30	+3.000000E-02	+1.048767E-05
40	+4.000000E-02	+1.398961E-05
50	+5.000000E-02	+1.748970E-05
60	+6.000000E-02	+2.099188E-05
70	+7.000000E-02	+2.449314E-05
80	+8.000000E-02	+2.799290E-05
90	+9.000000E-02	+3.149455E-05
100	+1.000000E-01	+3.499327E-05
