10.11.2022
10:19

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.506861E-05
-90	-9.000000E-02	-3.156546E-05
-80	-8.000000E-02	-2.806454E-05
-70	-7.000000E-02	-2.456212E-05
-60	-6.000000E-02	-2.106007E-05
-50	-5.000000E-02	-1.755793E-05
-40	-4.000000E-02	-1.405571E-05
-30	-3.000000E-02	-1.055342E-05
-20	-2.000000E-02	-7.058675E-06
-10	-1.000000E-02	-3.550711E-06
0	+0.000000E+00	-4.728651E-08
10	+1.000000E-02	+3.491155E-06
20	+2.000000E-02	+6.995712E-06
30	+3.000000E-02	+1.049236E-05
40	+4.000000E-02	+1.399448E-05
50	+5.000000E-02	+1.749608E-05
60	+6.000000E-02	+2.099894E-05
70	+7.000000E-02	+2.450210E-05
80	+8.000000E-02	+2.800224E-05
90	+9.000000E-02	+3.150445E-05
100	+1.000000E-01	+3.500546E-05
