25.11.2022
11:20

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.590742E-05
-95	-9.500000E-02	-3.411309E-05
-90	-9.000000E-02	-3.232071E-05
-85	-8.500000E-02	-3.052840E-05
-80	-8.000000E-02	-2.873475E-05
-75	-7.500000E-02	-2.694243E-05
-70	-7.000000E-02	-2.514983E-05
-65	-6.500000E-02	-2.335640E-05
-60	-6.000000E-02	-2.156248E-05
-55	-5.500000E-02	-1.976884E-05
-50	-5.000000E-02	-1.797640E-05
-45	-4.500000E-02	-1.618305E-05
-40	-4.000000E-02	-1.439136E-05
-35	-3.500000E-02	-1.259863E-05
-30	-3.000000E-02	-1.080461E-05
-25	-2.500000E-02	-9.019889E-06
-20	-2.000000E-02	-7.225399E-06
-15	-1.500000E-02	-5.430672E-06
-10	-1.000000E-02	-3.633757E-06
-5	-5.000000E-03	-1.838800E-06
0	+0.000000E+00	-4.642213E-08
5	+5.000000E-03	+1.782865E-06
10	+1.000000E-02	+3.577176E-06
15	+1.500000E-02	+5.371962E-06
20	+2.000000E-02	+7.166506E-06
25	+2.500000E-02	+8.960314E-06
30	+3.000000E-02	+1.074576E-05
35	+3.500000E-02	+1.253978E-05
40	+4.000000E-02	+1.433172E-05
45	+4.500000E-02	+1.612591E-05
50	+5.000000E-02	+1.791848E-05
55	+5.500000E-02	+1.971226E-05
60	+6.000000E-02	+2.150463E-05
65	+6.500000E-02	+2.329755E-05
70	+7.000000E-02	+2.509052E-05
75	+7.500000E-02	+2.688352E-05
80	+8.000000E-02	+2.867601E-05
85	+8.500000E-02	+3.046862E-05
90	+9.000000E-02	+3.226161E-05
95	+9.500000E-02	+3.405540E-05
100	+1.000000E-01	+3.584761E-05
