25.11.2022
11:24

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.592840E-05
-95	-9.500000E-02	-3.413388E-05
-90	-9.000000E-02	-3.233965E-05
-85	-8.500000E-02	-3.054682E-05
-80	-8.000000E-02	-2.875278E-05
-75	-7.500000E-02	-2.695885E-05
-70	-7.000000E-02	-2.516517E-05
-65	-6.500000E-02	-2.337160E-05
-60	-6.000000E-02	-2.157598E-05
-55	-5.500000E-02	-1.978272E-05
-50	-5.000000E-02	-1.798784E-05
-45	-4.500000E-02	-1.619393E-05
-40	-4.000000E-02	-1.440021E-05
-35	-3.500000E-02	-1.260694E-05
-30	-3.000000E-02	-1.081193E-05
-25	-2.500000E-02	-9.026870E-06
-20	-2.000000E-02	-7.232014E-06
-15	-1.500000E-02	-5.434872E-06
-10	-1.000000E-02	-3.637212E-06
-5	-5.000000E-03	-1.840261E-06
0	+0.000000E+00	-4.702132E-08
5	+5.000000E-03	+1.783212E-06
10	+1.000000E-02	+3.578439E-06
15	+1.500000E-02	+5.374078E-06
20	+2.000000E-02	+7.170341E-06
25	+2.500000E-02	+8.965207E-06
30	+3.000000E-02	+1.075107E-05
35	+3.500000E-02	+1.254647E-05
40	+4.000000E-02	+1.434031E-05
45	+4.500000E-02	+1.613482E-05
50	+5.000000E-02	+1.792839E-05
55	+5.500000E-02	+1.972390E-05
60	+6.000000E-02	+2.151747E-05
65	+6.500000E-02	+2.331098E-05
70	+7.000000E-02	+2.510462E-05
75	+7.500000E-02	+2.689886E-05
80	+8.000000E-02	+2.869183E-05
85	+8.500000E-02	+3.048729E-05
90	+9.000000E-02	+3.228072E-05
95	+9.500000E-02	+3.407398E-05
100	+1.000000E-01	+3.586701E-05
