25.11.2022
11:22

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.592069E-05
-95	-9.500000E-02	-3.412650E-05
-90	-9.000000E-02	-3.233230E-05
-85	-8.500000E-02	-3.053857E-05
-80	-8.000000E-02	-2.874631E-05
-75	-7.500000E-02	-2.695284E-05
-70	-7.000000E-02	-2.515920E-05
-65	-6.500000E-02	-2.336608E-05
-60	-6.000000E-02	-2.157130E-05
-55	-5.500000E-02	-1.977726E-05
-50	-5.000000E-02	-1.798385E-05
-45	-4.500000E-02	-1.618943E-05
-40	-4.000000E-02	-1.439591E-05
-35	-3.500000E-02	-1.260303E-05
-30	-3.000000E-02	-1.080797E-05
-25	-2.500000E-02	-9.023818E-06
-20	-2.000000E-02	-7.229569E-06
-15	-1.500000E-02	-5.432837E-06
-10	-1.000000E-02	-3.636548E-06
-5	-5.000000E-03	-1.840010E-06
0	+0.000000E+00	-4.650989E-08
5	+5.000000E-03	+1.783266E-06
10	+1.000000E-02	+3.577777E-06
15	+1.500000E-02	+5.372638E-06
20	+2.000000E-02	+7.168428E-06
25	+2.500000E-02	+8.963304E-06
30	+3.000000E-02	+1.074911E-05
35	+3.500000E-02	+1.254302E-05
40	+4.000000E-02	+1.433625E-05
45	+4.500000E-02	+1.613091E-05
50	+5.000000E-02	+1.792429E-05
55	+5.500000E-02	+1.971865E-05
60	+6.000000E-02	+2.151223E-05
65	+6.500000E-02	+2.330542E-05
70	+7.000000E-02	+2.509917E-05
75	+7.500000E-02	+2.689175E-05
80	+8.000000E-02	+2.868456E-05
85	+8.500000E-02	+3.047982E-05
90	+9.000000E-02	+3.227204E-05
95	+9.500000E-02	+3.406534E-05
100	+1.000000E-01	+3.585770E-05
