25.11.2022
11:24

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.593297E-05
-95	-9.500000E-02	-3.413744E-05
-90	-9.000000E-02	-3.234394E-05
-85	-8.500000E-02	-3.054978E-05
-80	-8.000000E-02	-2.875557E-05
-75	-7.500000E-02	-2.696237E-05
-70	-7.000000E-02	-2.516804E-05
-65	-6.500000E-02	-2.337337E-05
-60	-6.000000E-02	-2.157782E-05
-55	-5.500000E-02	-1.978317E-05
-50	-5.000000E-02	-1.798958E-05
-45	-4.500000E-02	-1.619510E-05
-40	-4.000000E-02	-1.440182E-05
-35	-3.500000E-02	-1.260745E-05
-30	-3.000000E-02	-1.081269E-05
-25	-2.500000E-02	-9.027447E-06
-20	-2.000000E-02	-7.232491E-06
-15	-1.500000E-02	-5.435551E-06
-10	-1.000000E-02	-3.637894E-06
-5	-5.000000E-03	-1.841330E-06
0	+0.000000E+00	-4.730307E-08
5	+5.000000E-03	+1.782746E-06
10	+1.000000E-02	+3.578730E-06
15	+1.500000E-02	+5.374151E-06
20	+2.000000E-02	+7.170211E-06
25	+2.500000E-02	+8.966068E-06
30	+3.000000E-02	+1.075328E-05
35	+3.500000E-02	+1.254667E-05
40	+4.000000E-02	+1.434153E-05
45	+4.500000E-02	+1.613588E-05
50	+5.000000E-02	+1.793003E-05
55	+5.500000E-02	+1.972536E-05
60	+6.000000E-02	+2.151921E-05
65	+6.500000E-02	+2.331303E-05
70	+7.000000E-02	+2.510715E-05
75	+7.500000E-02	+2.690004E-05
80	+8.000000E-02	+2.869451E-05
85	+8.500000E-02	+3.048936E-05
90	+9.000000E-02	+3.228298E-05
95	+9.500000E-02	+3.407649E-05
100	+1.000000E-01	+3.586918E-05
