25.11.2022
11:26

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.593704E-05
-95	-9.500000E-02	-3.414184E-05
-90	-9.000000E-02	-3.234678E-05
-85	-8.500000E-02	-3.055294E-05
-80	-8.000000E-02	-2.875845E-05
-75	-7.500000E-02	-2.696415E-05
-70	-7.000000E-02	-2.517003E-05
-65	-6.500000E-02	-2.337582E-05
-60	-6.000000E-02	-2.158017E-05
-55	-5.500000E-02	-1.978626E-05
-50	-5.000000E-02	-1.799074E-05
-45	-4.500000E-02	-1.619650E-05
-40	-4.000000E-02	-1.440312E-05
-35	-3.500000E-02	-1.260911E-05
-30	-3.000000E-02	-1.081281E-05
-25	-2.500000E-02	-9.028220E-06
-20	-2.000000E-02	-7.232916E-06
-15	-1.500000E-02	-5.436122E-06
-10	-1.000000E-02	-3.638369E-06
-5	-5.000000E-03	-1.840566E-06
0	+0.000000E+00	-4.744359E-08
5	+5.000000E-03	+1.782743E-06
10	+1.000000E-02	+3.579562E-06
15	+1.500000E-02	+5.374465E-06
20	+2.000000E-02	+7.170502E-06
25	+2.500000E-02	+8.966901E-06
30	+3.000000E-02	+1.075434E-05
35	+3.500000E-02	+1.254889E-05
40	+4.000000E-02	+1.434290E-05
45	+4.500000E-02	+1.613802E-05
50	+5.000000E-02	+1.793183E-05
55	+5.500000E-02	+1.972628E-05
60	+6.000000E-02	+2.152137E-05
65	+6.500000E-02	+2.331619E-05
70	+7.000000E-02	+2.510899E-05
75	+7.500000E-02	+2.690371E-05
80	+8.000000E-02	+2.869787E-05
85	+8.500000E-02	+3.049280E-05
90	+9.000000E-02	+3.228651E-05
95	+9.500000E-02	+3.408091E-05
100	+1.000000E-01	+3.587375E-05
