10.11.2022
10:20

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.507824E-05
-90	-9.000000E-02	-3.157397E-05
-80	-8.000000E-02	-2.807193E-05
-70	-7.000000E-02	-2.456961E-05
-60	-6.000000E-02	-2.106537E-05
-50	-5.000000E-02	-1.756302E-05
-40	-4.000000E-02	-1.406050E-05
-30	-3.000000E-02	-1.055657E-05
-20	-2.000000E-02	-7.061406E-06
-10	-1.000000E-02	-3.553469E-06
0	+0.000000E+00	-4.840214E-08
10	+1.000000E-02	+3.491206E-06
20	+2.000000E-02	+6.997268E-06
30	+3.000000E-02	+1.049370E-05
40	+4.000000E-02	+1.399779E-05
50	+5.000000E-02	+1.750010E-05
60	+6.000000E-02	+2.100379E-05
70	+7.000000E-02	+2.450635E-05
80	+8.000000E-02	+2.800807E-05
90	+9.000000E-02	+3.151116E-05
100	+1.000000E-01	+3.501348E-05
