25.11.2022
11:22

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.591807E-05
-95	-9.500000E-02	-3.412327E-05
-90	-9.000000E-02	-3.232946E-05
-85	-8.500000E-02	-3.053666E-05
-80	-8.000000E-02	-2.874421E-05
-75	-7.500000E-02	-2.695057E-05
-70	-7.000000E-02	-2.515757E-05
-65	-6.500000E-02	-2.336397E-05
-60	-6.000000E-02	-2.156925E-05
-55	-5.500000E-02	-1.977616E-05
-50	-5.000000E-02	-1.798138E-05
-45	-4.500000E-02	-1.618838E-05
-40	-4.000000E-02	-1.439536E-05
-35	-3.500000E-02	-1.260301E-05
-30	-3.000000E-02	-1.080786E-05
-25	-2.500000E-02	-9.023744E-06
-20	-2.000000E-02	-7.229639E-06
-15	-1.500000E-02	-5.433094E-06
-10	-1.000000E-02	-3.636020E-06
-5	-5.000000E-03	-1.840005E-06
0	+0.000000E+00	-4.715108E-08
5	+5.000000E-03	+1.782108E-06
10	+1.000000E-02	+3.577527E-06
15	+1.500000E-02	+5.372034E-06
20	+2.000000E-02	+7.167506E-06
25	+2.500000E-02	+8.962435E-06
30	+3.000000E-02	+1.074922E-05
35	+3.500000E-02	+1.254189E-05
40	+4.000000E-02	+1.433600E-05
45	+4.500000E-02	+1.613059E-05
50	+5.000000E-02	+1.792383E-05
55	+5.500000E-02	+1.971813E-05
60	+6.000000E-02	+2.151207E-05
65	+6.500000E-02	+2.330521E-05
70	+7.000000E-02	+2.509887E-05
75	+7.500000E-02	+2.689129E-05
80	+8.000000E-02	+2.868397E-05
85	+8.500000E-02	+3.047924E-05
90	+9.000000E-02	+3.227130E-05
95	+9.500000E-02	+3.406461E-05
100	+1.000000E-01	+3.585736E-05
