10.11.2022
10:18

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.506636E-05
-90	-9.000000E-02	-3.156271E-05
-80	-8.000000E-02	-2.806184E-05
-70	-7.000000E-02	-2.456042E-05
-60	-6.000000E-02	-2.105775E-05
-50	-5.000000E-02	-1.755754E-05
-40	-4.000000E-02	-1.405533E-05
-30	-3.000000E-02	-1.055266E-05
-20	-2.000000E-02	-7.058984E-06
-10	-1.000000E-02	-3.551492E-06
0	+0.000000E+00	-4.788465E-08
10	+1.000000E-02	+3.489620E-06
20	+2.000000E-02	+6.994725E-06
30	+3.000000E-02	+1.049091E-05
40	+4.000000E-02	+1.399287E-05
50	+5.000000E-02	+1.749401E-05
60	+6.000000E-02	+2.099672E-05
70	+7.000000E-02	+2.449826E-05
80	+8.000000E-02	+2.799823E-05
90	+9.000000E-02	+3.150113E-05
100	+1.000000E-01	+3.500108E-05
