25.11.2022
11:21

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-3.591597E-05
-95	-9.500000E-02	-3.412120E-05
-90	-9.000000E-02	-3.232856E-05
-85	-8.500000E-02	-3.053555E-05
-80	-8.000000E-02	-2.874193E-05
-75	-7.500000E-02	-2.694841E-05
-70	-7.000000E-02	-2.515577E-05
-65	-6.500000E-02	-2.336210E-05
-60	-6.000000E-02	-2.156709E-05
-55	-5.500000E-02	-1.977362E-05
-50	-5.000000E-02	-1.797998E-05
-45	-4.500000E-02	-1.618704E-05
-40	-4.000000E-02	-1.439394E-05
-35	-3.500000E-02	-1.260082E-05
-30	-3.000000E-02	-1.080601E-05
-25	-2.500000E-02	-9.022366E-06
-20	-2.000000E-02	-7.228388E-06
-15	-1.500000E-02	-5.432262E-06
-10	-1.000000E-02	-3.636243E-06
-5	-5.000000E-03	-1.839065E-06
0	+0.000000E+00	-4.689297E-08
5	+5.000000E-03	+1.781685E-06
10	+1.000000E-02	+3.577465E-06
15	+1.500000E-02	+5.371527E-06
20	+2.000000E-02	+7.167200E-06
25	+2.500000E-02	+8.961893E-06
30	+3.000000E-02	+1.074781E-05
35	+3.500000E-02	+1.254214E-05
40	+4.000000E-02	+1.433473E-05
45	+4.500000E-02	+1.612865E-05
50	+5.000000E-02	+1.792194E-05
55	+5.500000E-02	+1.971613E-05
60	+6.000000E-02	+2.150912E-05
65	+6.500000E-02	+2.330212E-05
70	+7.000000E-02	+2.509651E-05
75	+7.500000E-02	+2.688925E-05
80	+8.000000E-02	+2.868114E-05
85	+8.500000E-02	+3.047569E-05
90	+9.000000E-02	+3.226907E-05
95	+9.500000E-02	+3.406130E-05
100	+1.000000E-01	+3.585383E-05
