25.11.2022
11:12

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.519668E-05
-95	-9.500000E-02	-4.293848E-05
-90	-9.000000E-02	-4.068324E-05
-85	-8.500000E-02	-3.842690E-05
-80	-8.000000E-02	-3.616997E-05
-75	-7.500000E-02	-3.391355E-05
-70	-7.000000E-02	-3.165588E-05
-65	-6.500000E-02	-2.939925E-05
-60	-6.000000E-02	-2.714151E-05
-55	-5.500000E-02	-2.488549E-05
-50	-5.000000E-02	-2.262715E-05
-45	-4.500000E-02	-2.036992E-05
-40	-4.000000E-02	-1.811381E-05
-35	-3.500000E-02	-1.585790E-05
-30	-3.000000E-02	-1.359948E-05
-25	-2.500000E-02	-1.134150E-05
-20	-2.000000E-02	-9.098625E-06
-15	-1.500000E-02	-6.837653E-06
-10	-1.000000E-02	-4.576612E-06
-5	-5.000000E-03	-2.315359E-06
0	+0.000000E+00	-5.972745E-08
5	+5.000000E-03	+2.243600E-06
10	+1.000000E-02	+4.503346E-06
15	+1.500000E-02	+6.761486E-06
20	+2.000000E-02	+9.020953E-06
25	+2.500000E-02	+1.126773E-05
30	+3.000000E-02	+1.352700E-05
35	+3.500000E-02	+1.578287E-05
40	+4.000000E-02	+1.804115E-05
45	+4.500000E-02	+2.029627E-05
50	+5.000000E-02	+2.255353E-05
55	+5.500000E-02	+2.481149E-05
60	+6.000000E-02	+2.706754E-05
65	+6.500000E-02	+2.932392E-05
70	+7.000000E-02	+3.158152E-05
75	+7.500000E-02	+3.383764E-05
80	+8.000000E-02	+3.609354E-05
85	+8.500000E-02	+3.835243E-05
90	+9.000000E-02	+4.060713E-05
95	+9.500000E-02	+4.286385E-05
100	+1.000000E-01	+4.511963E-05
