10.11.2022
10:21

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.425037E-05
-90	-9.000000E-02	-3.983043E-05
-80	-8.000000E-02	-3.541281E-05
-70	-7.000000E-02	-3.099385E-05
-60	-6.000000E-02	-2.657468E-05
-50	-5.000000E-02	-2.215596E-05
-40	-4.000000E-02	-1.773706E-05
-30	-3.000000E-02	-1.331728E-05
-20	-2.000000E-02	-8.910373E-06
-10	-1.000000E-02	-4.483581E-06
0	+0.000000E+00	-6.210919E-08
10	+1.000000E-02	+4.405266E-06
20	+2.000000E-02	+8.827685E-06
30	+3.000000E-02	+1.323831E-05
40	+4.000000E-02	+1.765716E-05
50	+5.000000E-02	+2.207528E-05
60	+6.000000E-02	+2.649525E-05
70	+7.000000E-02	+3.091437E-05
80	+8.000000E-02	+3.533124E-05
90	+9.000000E-02	+3.975131E-05
100	+1.000000E-01	+4.416828E-05
