25.11.2022
11:09

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.518067E-05
-95	-9.500000E-02	-4.292352E-05
-90	-9.000000E-02	-4.066822E-05
-85	-8.500000E-02	-3.841401E-05
-80	-8.000000E-02	-3.615707E-05
-75	-7.500000E-02	-3.390157E-05
-70	-7.000000E-02	-3.164601E-05
-65	-6.500000E-02	-2.938884E-05
-60	-6.000000E-02	-2.713127E-05
-55	-5.500000E-02	-2.487597E-05
-50	-5.000000E-02	-2.261965E-05
-45	-4.500000E-02	-2.036264E-05
-40	-4.000000E-02	-1.810801E-05
-35	-3.500000E-02	-1.585296E-05
-30	-3.000000E-02	-1.359473E-05
-25	-2.500000E-02	-1.133769E-05
-20	-2.000000E-02	-9.095949E-06
-15	-1.500000E-02	-6.835891E-06
-10	-1.000000E-02	-4.575487E-06
-5	-5.000000E-03	-2.314713E-06
0	+0.000000E+00	-5.930736E-08
5	+5.000000E-03	+2.242685E-06
10	+1.000000E-02	+4.500993E-06
15	+1.500000E-02	+6.758576E-06
20	+2.000000E-02	+9.017621E-06
25	+2.500000E-02	+1.126250E-05
30	+3.000000E-02	+1.352075E-05
35	+3.500000E-02	+1.577636E-05
40	+4.000000E-02	+1.803257E-05
45	+4.500000E-02	+2.028839E-05
50	+5.000000E-02	+2.254422E-05
55	+5.500000E-02	+2.480082E-05
60	+6.000000E-02	+2.705684E-05
65	+6.500000E-02	+2.931323E-05
70	+7.000000E-02	+3.156858E-05
75	+7.500000E-02	+3.382525E-05
80	+8.000000E-02	+3.608003E-05
85	+8.500000E-02	+3.833674E-05
90	+9.000000E-02	+4.059207E-05
95	+9.500000E-02	+4.284853E-05
100	+1.000000E-01	+4.510439E-05
