25.11.2022
11:13

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.520947E-05
-95	-9.500000E-02	-4.295091E-05
-90	-9.000000E-02	-4.069397E-05
-85	-8.500000E-02	-3.843691E-05
-80	-8.000000E-02	-3.617889E-05
-75	-7.500000E-02	-3.392258E-05
-70	-7.000000E-02	-3.166463E-05
-65	-6.500000E-02	-2.940741E-05
-60	-6.000000E-02	-2.714791E-05
-55	-5.500000E-02	-2.489031E-05
-50	-5.000000E-02	-2.263363E-05
-45	-4.500000E-02	-2.037546E-05
-40	-4.000000E-02	-1.812006E-05
-35	-3.500000E-02	-1.586166E-05
-30	-3.000000E-02	-1.360198E-05
-25	-2.500000E-02	-1.134330E-05
-20	-2.000000E-02	-9.099681E-06
-15	-1.500000E-02	-6.840808E-06
-10	-1.000000E-02	-4.577454E-06
-5	-5.000000E-03	-2.316199E-06
0	+0.000000E+00	-5.842142E-08
5	+5.000000E-03	+2.244584E-06
10	+1.000000E-02	+4.504613E-06
15	+1.500000E-02	+6.762954E-06
20	+2.000000E-02	+9.025828E-06
25	+2.500000E-02	+1.126913E-05
30	+3.000000E-02	+1.352927E-05
35	+3.500000E-02	+1.578787E-05
40	+4.000000E-02	+1.804426E-05
45	+4.500000E-02	+2.030136E-05
50	+5.000000E-02	+2.255947E-05
55	+5.500000E-02	+2.481808E-05
60	+6.000000E-02	+2.707416E-05
65	+6.500000E-02	+2.933200E-05
70	+7.000000E-02	+3.158909E-05
75	+7.500000E-02	+3.384707E-05
80	+8.000000E-02	+3.610438E-05
85	+8.500000E-02	+3.836268E-05
90	+9.000000E-02	+4.061947E-05
95	+9.500000E-02	+4.287623E-05
100	+1.000000E-01	+4.513322E-05
