25.11.2022
11:03

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.515336E-05
-95	-9.500000E-02	-4.289776E-05
-90	-9.000000E-02	-4.064280E-05
-85	-8.500000E-02	-3.838940E-05
-80	-8.000000E-02	-3.613471E-05
-75	-7.500000E-02	-3.388035E-05
-70	-7.000000E-02	-3.162662E-05
-65	-6.500000E-02	-2.937117E-05
-60	-6.000000E-02	-2.711407E-05
-55	-5.500000E-02	-2.486091E-05
-50	-5.000000E-02	-2.260655E-05
-45	-4.500000E-02	-2.035170E-05
-40	-4.000000E-02	-1.809657E-05
-35	-3.500000E-02	-1.584401E-05
-30	-3.000000E-02	-1.358721E-05
-25	-2.500000E-02	-1.133175E-05
-20	-2.000000E-02	-9.090848E-06
-15	-1.500000E-02	-6.832702E-06
-10	-1.000000E-02	-4.573492E-06
-5	-5.000000E-03	-2.314743E-06
0	+0.000000E+00	-5.973858E-08
5	+5.000000E-03	+2.240747E-06
10	+1.000000E-02	+4.497716E-06
15	+1.500000E-02	+6.754600E-06
20	+2.000000E-02	+9.011296E-06
25	+2.500000E-02	+1.125514E-05
30	+3.000000E-02	+1.351244E-05
35	+3.500000E-02	+1.576756E-05
40	+4.000000E-02	+1.802136E-05
45	+4.500000E-02	+2.027556E-05
50	+5.000000E-02	+2.253143E-05
55	+5.500000E-02	+2.478655E-05
60	+6.000000E-02	+2.704132E-05
65	+6.500000E-02	+2.929575E-05
70	+7.000000E-02	+3.155059E-05
75	+7.500000E-02	+3.380461E-05
80	+8.000000E-02	+3.605926E-05
85	+8.500000E-02	+3.831371E-05
90	+9.000000E-02	+4.056920E-05
95	+9.500000E-02	+4.282226E-05
100	+1.000000E-01	+4.507584E-05
