10.11.2022
10:23

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.427786E-05
-90	-9.000000E-02	-3.985539E-05
-80	-8.000000E-02	-3.543522E-05
-70	-7.000000E-02	-3.101397E-05
-60	-6.000000E-02	-2.659059E-05
-50	-5.000000E-02	-2.216931E-05
-40	-4.000000E-02	-1.774871E-05
-30	-3.000000E-02	-1.332557E-05
-20	-2.000000E-02	-8.916630E-06
-10	-1.000000E-02	-4.486342E-06
0	+0.000000E+00	-6.209643E-08
10	+1.000000E-02	+4.407635E-06
20	+2.000000E-02	+8.832473E-06
30	+3.000000E-02	+1.324595E-05
40	+4.000000E-02	+1.766800E-05
50	+5.000000E-02	+2.208964E-05
60	+6.000000E-02	+2.651229E-05
70	+7.000000E-02	+3.093223E-05
80	+8.000000E-02	+3.535370E-05
90	+9.000000E-02	+3.977614E-05
100	+1.000000E-01	+4.419639E-05
