25.11.2022
11:05

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.516518E-05
-95	-9.500000E-02	-4.290840E-05
-90	-9.000000E-02	-4.065396E-05
-85	-8.500000E-02	-3.839976E-05
-80	-8.000000E-02	-3.614430E-05
-75	-7.500000E-02	-3.388971E-05
-70	-7.000000E-02	-3.163471E-05
-65	-6.500000E-02	-2.937903E-05
-60	-6.000000E-02	-2.712220E-05
-55	-5.500000E-02	-2.486788E-05
-50	-5.000000E-02	-2.261140E-05
-45	-4.500000E-02	-2.035646E-05
-40	-4.000000E-02	-1.810138E-05
-35	-3.500000E-02	-1.584726E-05
-30	-3.000000E-02	-1.359007E-05
-25	-2.500000E-02	-1.133361E-05
-20	-2.000000E-02	-9.092240E-06
-15	-1.500000E-02	-6.834102E-06
-10	-1.000000E-02	-4.574602E-06
-5	-5.000000E-03	-2.314790E-06
0	+0.000000E+00	-6.015919E-08
5	+5.000000E-03	+2.241407E-06
10	+1.000000E-02	+4.499067E-06
15	+1.500000E-02	+6.754944E-06
20	+2.000000E-02	+9.013183E-06
25	+2.500000E-02	+1.125785E-05
30	+3.000000E-02	+1.351511E-05
35	+3.500000E-02	+1.577081E-05
40	+4.000000E-02	+1.802616E-05
45	+4.500000E-02	+2.028078E-05
50	+5.000000E-02	+2.253569E-05
55	+5.500000E-02	+2.479226E-05
60	+6.000000E-02	+2.704710E-05
65	+6.500000E-02	+2.930276E-05
70	+7.000000E-02	+3.155749E-05
75	+7.500000E-02	+3.381140E-05
80	+8.000000E-02	+3.606629E-05
85	+8.500000E-02	+3.832236E-05
90	+9.000000E-02	+4.057678E-05
95	+9.500000E-02	+4.283058E-05
100	+1.000000E-01	+4.508467E-05
