10.11.2022
10:24

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.429391E-05
-90	-9.000000E-02	-3.986889E-05
-80	-8.000000E-02	-3.544752E-05
-70	-7.000000E-02	-3.102408E-05
-60	-6.000000E-02	-2.659915E-05
-50	-5.000000E-02	-2.217716E-05
-40	-4.000000E-02	-1.775443E-05
-30	-3.000000E-02	-1.333053E-05
-20	-2.000000E-02	-8.920057E-06
-10	-1.000000E-02	-4.488440E-06
0	+0.000000E+00	-6.136142E-08
10	+1.000000E-02	+4.410344E-06
20	+2.000000E-02	+8.837173E-06
30	+3.000000E-02	+1.325163E-05
40	+4.000000E-02	+1.767462E-05
50	+5.000000E-02	+2.209686E-05
60	+6.000000E-02	+2.652219E-05
70	+7.000000E-02	+3.094409E-05
80	+8.000000E-02	+3.536641E-05
90	+9.000000E-02	+3.978923E-05
100	+1.000000E-01	+4.421162E-05
