25.11.2022
11:08

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.516942E-05
-95	-9.500000E-02	-4.291395E-05
-90	-9.000000E-02	-4.065869E-05
-85	-8.500000E-02	-3.840291E-05
-80	-8.000000E-02	-3.614769E-05
-75	-7.500000E-02	-3.389289E-05
-70	-7.000000E-02	-3.163756E-05
-65	-6.500000E-02	-2.938186E-05
-60	-6.000000E-02	-2.712440E-05
-55	-5.500000E-02	-2.486878E-05
-50	-5.000000E-02	-2.261407E-05
-45	-4.500000E-02	-2.035798E-05
-40	-4.000000E-02	-1.810325E-05
-35	-3.500000E-02	-1.584752E-05
-30	-3.000000E-02	-1.359077E-05
-25	-2.500000E-02	-1.133461E-05
-20	-2.000000E-02	-9.093463E-06
-15	-1.500000E-02	-6.834785E-06
-10	-1.000000E-02	-4.574652E-06
-5	-5.000000E-03	-2.314209E-06
0	+0.000000E+00	-5.959588E-08
5	+5.000000E-03	+2.242351E-06
10	+1.000000E-02	+4.499716E-06
15	+1.500000E-02	+6.756696E-06
20	+2.000000E-02	+9.015823E-06
25	+2.500000E-02	+1.126006E-05
30	+3.000000E-02	+1.351829E-05
35	+3.500000E-02	+1.577356E-05
40	+4.000000E-02	+1.802748E-05
45	+4.500000E-02	+2.028386E-05
50	+5.000000E-02	+2.253953E-05
55	+5.500000E-02	+2.479608E-05
60	+6.000000E-02	+2.705065E-05
65	+6.500000E-02	+2.930549E-05
70	+7.000000E-02	+3.156071E-05
75	+7.500000E-02	+3.381566E-05
80	+8.000000E-02	+3.607036E-05
85	+8.500000E-02	+3.832797E-05
90	+9.000000E-02	+4.058219E-05
95	+9.500000E-02	+4.283701E-05
100	+1.000000E-01	+4.509157E-05
