25.11.2022
11:12

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.519964E-05
-95	-9.500000E-02	-4.294155E-05
-90	-9.000000E-02	-4.068454E-05
-85	-8.500000E-02	-3.842834E-05
-80	-8.000000E-02	-3.617120E-05
-75	-7.500000E-02	-3.391444E-05
-70	-7.000000E-02	-3.165848E-05
-65	-6.500000E-02	-2.940091E-05
-60	-6.000000E-02	-2.714222E-05
-55	-5.500000E-02	-2.488481E-05
-50	-5.000000E-02	-2.262856E-05
-45	-4.500000E-02	-2.037088E-05
-40	-4.000000E-02	-1.811433E-05
-35	-3.500000E-02	-1.585799E-05
-30	-3.000000E-02	-1.359993E-05
-25	-2.500000E-02	-1.134176E-05
-20	-2.000000E-02	-9.098536E-06
-15	-1.500000E-02	-6.838379E-06
-10	-1.000000E-02	-4.576640E-06
-5	-5.000000E-03	-2.314672E-06
0	+0.000000E+00	-5.894523E-08
5	+5.000000E-03	+2.244604E-06
10	+1.000000E-02	+4.502609E-06
15	+1.500000E-02	+6.761725E-06
20	+2.000000E-02	+9.021527E-06
25	+2.500000E-02	+1.126750E-05
30	+3.000000E-02	+1.352782E-05
35	+3.500000E-02	+1.578304E-05
40	+4.000000E-02	+1.804095E-05
45	+4.500000E-02	+2.029664E-05
50	+5.000000E-02	+2.255440E-05
55	+5.500000E-02	+2.481261E-05
60	+6.000000E-02	+2.706919E-05
65	+6.500000E-02	+2.932608E-05
70	+7.000000E-02	+3.158211E-05
75	+7.500000E-02	+3.383943E-05
80	+8.000000E-02	+3.609572E-05
85	+8.500000E-02	+3.835444E-05
90	+9.000000E-02	+4.060872E-05
95	+9.500000E-02	+4.286530E-05
100	+1.000000E-01	+4.512175E-05
