10.11.2022
10:22

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.426386E-05
-90	-9.000000E-02	-3.984270E-05
-80	-8.000000E-02	-3.542425E-05
-70	-7.000000E-02	-3.100446E-05
-60	-6.000000E-02	-2.658218E-05
-50	-5.000000E-02	-2.216313E-05
-40	-4.000000E-02	-1.774390E-05
-30	-3.000000E-02	-1.332095E-05
-20	-2.000000E-02	-8.914574E-06
-10	-1.000000E-02	-4.485681E-06
0	+0.000000E+00	-6.204656E-08
10	+1.000000E-02	+4.406840E-06
20	+2.000000E-02	+8.830366E-06
30	+3.000000E-02	+1.324240E-05
40	+4.000000E-02	+1.766149E-05
50	+5.000000E-02	+2.208204E-05
60	+6.000000E-02	+2.650281E-05
70	+7.000000E-02	+3.092330E-05
80	+8.000000E-02	+3.534217E-05
90	+9.000000E-02	+3.976264E-05
100	+1.000000E-01	+4.418129E-05
